"SampleNames","region","batch","post_idbatch","AggGiven70min","AggRec70min","wt_d4","wt_d8","wt_12","pre_idbatchcage","mean_con_ng_ul","period","pre_idbatch","group","time","Postds","Postrank","Preds","Prerank","condition"
"A1.A.b6.1.4.trim.sam.counts","A",6,"1-4Batch6",0,19,38.9,38.9,39.8,"4Batch6Cage1",24.2273088025016,"Post","4Batch6","reorganized","25hr",-4.98611111111111,4,2.50641025641026,1,"descenders"
"A2.A.b5.5.3.trim.sam.counts","A",5,"5-3Batch5",61,0,38.6,39.6,40.6,"3Batch5Cage5",193.289706846702,"Post","3Batch5","reorganized","25hr",5.64705882352941,1,-4.63333333333333,4,"ascenders"
"A3.A.b4.4.1.trim.sam.counts","A",4,"4-1Batch4",68,0,41.8,40,39.1,"1Batch4Cage4",71.9378705562293,"Post","1Batch4","reorganized","25hr",5.82017825311943,1,5.60805860805861,1,"same"
"A4.A.b4.2.4.trim.sam.counts","A",4,"2-4Batch4",0,31,33.9,39.1,34.4,"4Batch4Cage2",169.888391965096,"Post","4Batch4","reorganized","25hr",-2.38846153846154,4,-4.73939393939394,4,"same"
"A5.A.b2.3.4.trim.sam.counts","A",2,"3-4Batch2",46,32,35.6,36.6,37.8,"4Batch2Cage3",56.3740843036573,"Post","4Batch2","reorganized","25hr",-3.53246753246753,4,4.14957983193277,1,"descenders"
"B1.A.b1.1.1.trim.sam.counts","A",1,"1-1Batch1",91,36,39.3,38.7,39.2,"1Batch1Cage1",71.8388019515396,"Post","1Batch1","reorganized","25hr",5.45539215686275,1,5.86467447390856,1,"same"
"B2.A.b1.2.2.trim.sam.counts","A",1,"2-2Batch1",62,37,37.3,38.2,39.5,"2Batch1Cage2",33.1494729740813,"Post","2Batch1","reorganized","25hr",4.49935064935065,1,-4.08791208791209,4,"ascenders"
"B3.A.b1.2.1.trim.sam.counts","A",1,"2-1Batch1",0,48,40.3,39.1,35.6,"1Batch1Cage2",219.444441343995,"Post","1Batch1","reorganized","25hr",-4.70833333333333,4,5.59761472647135,1,"descenders"
"B4.A.b1.3.3.trim.sam.counts","A",1,"3-3Batch1",0,27,NA,NA,NA,NA,NA,NA,"3Batch1","reorganized","25hr",-2.78484848484848,4,-4.20909090909091,4,NA
"B6.A.b5.3.4.trim.sam.counts","A",5,"3-4Batch5",46,0,43.8,43.2,42.8,"4Batch5Cage3",165.266727547779,"Post","4Batch5","reorganized","25hr",4.72235294117647,1,4.48851148851149,1,"same"
"C2.A.b6.1.1.trim.sam.counts","A",6,"1-1Batch6",0,36,40.8,40.8,40.8,"1Batch6Cage1",152.279397029005,"Post","1Batch6","reorganized","25hr",-5.25595238095238,4,-4.92307692307692,4,"same"
"C4.A.b4.3.2.trim.sam.counts","A",4,"3-2Batch4",42,54,38.2,36.5,38.6,"2Batch4Cage3",111.014492252825,"Post","2Batch4","reorganized","25hr",-3.23939393939394,4,5.45697577276525,1,"descenders"
"C6.A.b2.2.1.trim.sam.counts","A",2,"2-1Batch2",0,48,36.6,39,38.8,"1Batch2Cage2",95.7487417191344,"Post","1Batch2","reorganized","25hr",-3.84473684210526,4,-5.17948717948718,4,"same"
"D5.A.b7.5.2.trim.sam.counts","A",7,"5-2Batch7",64,0,38.2,39.1,40.8,"2Batch7Cage5",172.984731820729,"Post","2Batch7","reorganized","25hr",5.80986887508627,1,-4.91601731601732,4,"ascenders"
"E2.A.b7.4.1.trim.sam.counts","A",7,"4-1Batch7",68,46,42.5,43,42.4,"1Batch7Cage4",171.511603300494,"Post","1Batch7","reorganized","25hr",5.3223602484472,1,5.72715053763441,1,"same"
"E5.A.b2.2.2.trim.sam.counts","A",2,"2-2Batch2",62,37,33.4,36.3,36.2,"2Batch2Cage2",63.7797764664114,"Post","2Batch2","reorganized","25hr",4.43722943722944,1,4.77380952380952,1,"same"
"F2.A.b4.5.2.trim.sam.counts","A",4,"5-2Batch4",64,0,32.7,32.2,34.7,"2Batch4Cage5",238.179680818244,"Post","2Batch4","reorganized","25hr",4.2989010989011,1,-5.37777777777778,4,"ascenders"
"F5.A.b6.2.2.trim.sam.counts","A",6,"2-2Batch6",62,37,32.8,33.7,34,"2Batch6Cage2",79.4046628782662,"Post","2Batch6","reorganized","25hr",5.16720779220779,1,-4.37575757575758,4,"ascenders"
"G1.A.b7.4.2.trim.sam.counts","A",7,"4-2Batch7",0,55,31.3,32.6,28.8,"2Batch7Cage4",269.557178397448,"Post","2Batch7","reorganized","25hr",-4.41304347826087,4,-4.5,4,"same"
"G4.A.b5.2.2.trim.sam.counts","A",5,"2-2Batch5",0,37,35.7,35.7,36.8,"2Batch5Cage2",71.6636350446161,"Post","2Batch5","reorganized","25hr",-4.59663865546218,4,-4.2463768115942,4,"same"
"H1.A.b6.2.1.trim.sam.counts","A",6,"2-1Batch6",64,48,38.2,39.8,40.2,"1Batch6Cage2",87.2825689543017,"Post","1Batch6","reorganized","25hr",5.16982323232323,1,5.46953046953047,1,"same"
"H3.A.b7.3.4.trim.sam.counts","A",7,"3-4Batch7",0,32,38.8,38.9,38.6,"4Batch7Cage3",186.368111674871,"Post","4Batch7","reorganized","25hr",-4.52380952380952,4,4.84027777777778,1,"descenders"
"H4.A.b2.5.1.trim.sam.counts","A",2,"5-1Batch2",24,0,39.3,318,40,"1Batch2Cage5",86.0058994918857,"Post","1Batch2","reorganized","25hr",4.65123034859877,1,-3.14583333333333,4,"ascenders"
"H6.A.b5.5.4.trim.sam.counts","A",5,"5-4Batch5",0,66,34.1,34.2,34.5,"4Batch5Cage5",128.565623321335,"Post","4Batch5","reorganized","25hr",-2.45333333333333,4,5.35952380952381,1,"descenders"
"A6.P.b1.2.2.trim.sam.counts","P",1,"2-2Batch1",62,37,37.3,38.2,39.5,"2Batch1Cage2",33.1494729740813,"Post","2Batch1","reorganized","25hr",4.49935064935065,1,-4.08791208791209,4,"ascenders"
"B5.P.b4.4.1.trim.sam.counts","P",4,"4-1Batch4",68,0,41.8,40,39.1,"1Batch4Cage4",71.9378705562293,"Post","1Batch4","reorganized","25hr",5.82017825311943,1,5.60805860805861,1,"same"
"C1.P.b5.2.2.trim.sam.counts","P",5,"2-2Batch5",0,37,35.7,35.7,36.8,"2Batch5Cage2",71.6636350446161,"Post","2Batch5","reorganized","25hr",-4.59663865546218,4,-4.2463768115942,4,"same"
"C3.P.b7.4.1.trim.sam.counts","P",7,"4-1Batch7",68,46,42.5,43,42.4,"1Batch7Cage4",171.511603300494,"Post","1Batch7","reorganized","25hr",5.3223602484472,1,5.72715053763441,1,"same"
"C5.P.b4.3.2.trim.sam.counts","P",4,"3-2Batch4",42,54,38.2,36.5,38.6,"2Batch4Cage3",111.014492252825,"Post","2Batch4","reorganized","25hr",-3.23939393939394,4,5.45697577276525,1,"descenders"
"D1.P.b4.5.2.trim.sam.counts","P",4,"5-2Batch4",64,0,32.7,32.2,34.7,"2Batch4Cage5",238.179680818244,"Post","2Batch4","reorganized","25hr",4.2989010989011,1,-5.37777777777778,4,"ascenders"
"D2.P.b2.2.1.trim.sam.counts","P",2,"2-1Batch2",0,48,36.6,39,38.8,"1Batch2Cage2",95.7487417191344,"Post","1Batch2","reorganized","25hr",-3.84473684210526,4,-5.17948717948718,4,"same"
"D3.P.b7.4.2.trim.sam.counts","P",7,"4-2Batch7",0,55,31.3,32.6,28.8,"2Batch7Cage4",269.557178397448,"Post","2Batch7","reorganized","25hr",-4.41304347826087,4,-4.5,4,"same"
"D4.P.b6.2.2.trim.sam.counts","P",6,"2-2Batch6",62,37,32.8,33.7,34,"2Batch6Cage2",79.4046628782662,"Post","2Batch6","reorganized","25hr",5.16720779220779,1,-4.37575757575758,4,"ascenders"
"D6.P.b1.1.1.trim.sam.counts","P",1,"1-1Batch1",91,36,39.3,38.7,39.2,"1Batch1Cage1",71.8388019515396,"Post","1Batch1","reorganized","25hr",5.45539215686275,1,5.86467447390856,1,"same"
"E1.P.b6.1.4.trim.sam.counts","P",6,"1-4Batch6",0,19,38.9,38.9,39.8,"4Batch6Cage1",24.2273088025016,"Post","4Batch6","reorganized","25hr",-4.98611111111111,4,2.50641025641026,1,"descenders"
"E3.P.b6.1.1.trim.sam.counts","P",6,"1-1Batch6",0,36,40.8,40.8,40.8,"1Batch6Cage1",152.279397029005,"Post","1Batch6","reorganized","25hr",-5.25595238095238,4,-4.92307692307692,4,"same"
"E4.P.b7.5.2.trim.sam.counts","P",7,"5-2Batch7",64,0,38.2,39.1,40.8,"2Batch7Cage5",172.984731820729,"Post","2Batch7","reorganized","25hr",5.80986887508627,1,-4.91601731601732,4,"ascenders"
"E6.P.b7.3.4.trim.sam.counts","P",7,"3-4Batch7",0,32,38.8,38.9,38.6,"4Batch7Cage3",186.368111674871,"Post","4Batch7","reorganized","25hr",-4.52380952380952,4,4.84027777777778,1,"descenders"
"F1.P.b6.2.1.trim.sam.counts","P",6,"2-1Batch6",64,48,38.2,39.8,40.2,"1Batch6Cage2",87.2825689543017,"Post","1Batch6","reorganized","25hr",5.16982323232323,1,5.46953046953047,1,"same"
"F3.P.b1.3.3.trim.sam.counts","P",1,"3-3Batch1",0,27,NA,NA,NA,NA,NA,NA,"3Batch1","reorganized","25hr",-2.78484848484848,4,-4.20909090909091,4,NA
"F4.P.b5.5.4.trim.sam.counts","P",5,"5-4Batch5",0,66,34.1,34.2,34.5,"4Batch5Cage5",128.565623321335,"Post","4Batch5","reorganized","25hr",-2.45333333333333,4,5.35952380952381,1,"descenders"
"F6.P.b5.5.3.trim.sam.counts","P",5,"5-3Batch5",61,0,38.6,39.6,40.6,"3Batch5Cage5",193.289706846702,"Post","3Batch5","reorganized","25hr",5.64705882352941,1,-4.63333333333333,4,"ascenders"
"G2.P.b4.2.4.trim.sam.counts","P",4,"2-4Batch4",0,31,33.9,39.1,34.4,"4Batch4Cage2",169.888391965096,"Post","4Batch4","reorganized","25hr",-2.38846153846154,4,-4.73939393939394,4,"same"
"G3.P.b1.2.1.trim.sam.counts","P",1,"2-1Batch1",0,48,40.3,39.1,35.6,"1Batch1Cage2",219.444441343995,"Post","1Batch1","reorganized","25hr",-4.70833333333333,4,5.59761472647135,1,"descenders"
"G5.P.b2.2.2.trim.sam.counts","P",2,"2-2Batch2",62,37,33.4,36.3,36.2,"2Batch2Cage2",63.7797764664114,"Post","2Batch2","reorganized","25hr",4.43722943722944,1,4.77380952380952,1,"same"
"G6.P.b2.3.4.trim.sam.counts","P",2,"3-4Batch2",46,32,35.6,36.6,37.8,"4Batch2Cage3",56.3740843036573,"Post","4Batch2","reorganized","25hr",-3.53246753246753,4,4.14957983193277,1,"descenders"
"H2.P.b5.3.4.trim.sam.counts","P",5,"3-4Batch5",46,0,43.8,43.2,42.8,"4Batch5Cage3",165.266727547779,"Post","4Batch5","reorganized","25hr",4.72235294117647,1,4.48851148851149,1,"same"
"H5.P.b2.5.1.trim.sam.counts","P",2,"5-1Batch2",24,0,39.3,318,40,"1Batch2Cage5",86.0058994918857,"Post","1Batch2","reorganized","25hr",4.65123034859877,1,-3.14583333333333,4,"ascenders"
