"SampleName","region","batch","post_idbatch","AggGiven70min","AggRec70min","mean_con_ng_ul","period","pre_idbatch","pre_idbatchcage","group","time","Postds","Postrank","Preds","Prerank","condition","wt_d4","wt_d8","wt_12"
"A1.AMYB10.3.2.trim.sam.counts","AMY",10,"3-2Batch10",0,69,339.268143707453,"Post","2Batch1","2Batch10Cage3","reorganized","1 hr",-2.41746411483254,4,-3.57777777777778,4,"same",36.3,36.2,35.1
"A1.PFCB14.5.4.trim.sam.counts","PFC",14,"5-4Batch14",23,0,88.080514003309,"Post","4Batch1","4Batch14Cage5","control","1 hr",3,1,5.21818181818182,1,"control",41.7,40.6,40.8
"A2.AMYB12.4.3.trim.sam.counts","AMY",12,"4-3Batch12",0,61,243.139250328742,"Post","3Batch1","3Batch12Cage4","reorganized","1 hr",-2.29166666666667,4,4.61190476190476,1,"descenders",42.9,42.6,41.8
"A2.PFCB12.4.1.trim.sam.counts","PFC",12,"4-1Batch12",95,45,437.441903981297,"Post","1Batch1","1Batch12Cage4","reorganized","1 hr",3.29175824175824,1,-1.86623931623932,3,"ascenders",34.6,34.8,34.5
"A3.AMYB11.4.4.trim.sam.counts","AMY",11,"4-4Batch11",77,0,303.812723325927,"Post","4Batch1","4Batch11Cage4","reorganized","1 hr",3.1875,1,5.504329004329,1,"same",35.2,35.3,35.6
"A3.PFCB9.2.2.trim.sam.counts","PFC",9,"2-2Batch9",8,0,112.407257272448,"Post","2Batch9","2Batch9Cage2","control","1 hr",3.08333333333333,1,3.97069597069597,1,"control",41.3,42.3,42.9
"A4.AMYB13.1.2.trim.sam.counts","AMY",13,"1-2Batch13",62,0,82.5545162711961,"Post","2Batch1","2Batch13Cage1","reorganized","1 hr",2.75,1,-2.94444444444444,4,"ascenders",35.5,38.5,36.7
"A4.PFCB12.3.1.trim.sam.counts","PFC",12,"3-1Batch12",0,27,76.7234682503427,"Post","1Batch1","1Batch12Cage3","control","1 hr",-1.91666666666667,4,-2.82142857142857,4,"control",38.3,35.8,38.8
"A5.AMYB11.5.4.trim.sam.counts","AMY",11,"5-4Batch11",0,41,466.234204248619,"Post","4Batch1","4Batch11Cage5","control","1 hr",-2.15277777777778,4,-2.70744680851064,3,"control",35,33.5,35.5
"A5.PFCB9.3.2.trim.sam.counts","PFC",9,"3-2Batch9",0,69,407.261064662692,"Post","2Batch9","2Batch9Cage3","reorganized","1 hr",-0.854093567251462,3,-0.396739130434783,3,"same",44.1,42.4,43.2
"A6.AMYB13.5.1.trim.sam.counts","AMY",13,"5-1Batch13",0,45,143.606764359867,"Post","1Batch1","1Batch13Cage5","control","1 hr",-2.7,4,-5.02857142857143,4,"control",35.5,35.7,36.8
"A6.PFCB14.4.2.trim.sam.counts","PFC",14,"4-2Batch14",0,32,149.906839683942,"Post","2Batch1","2Batch14Cage4","reorganized","1 hr",-1.12380952380952,4,5.82678271907158,1,"descenders",42.7,41.2,40.4
"A7.AMYB13.3.4.trim.sam.counts","AMY",13,"3-4Batch13",66,30,359.454229288908,"Post","4Batch1","4Batch13Cage3","reorganized","1 hr",2.1,1,4.08333333333333,1,"same",34.8,35.1,35
"A7.PFCB8.2.2.trim.sam.counts","PFC",8,"2-2Batch8",0,56,329.876616791225,"Post","2Batch8","2Batch8Cage2","reorganized","1 hr",-1.01436781609195,4,-4.59464285714286,4,"same",34.4,34.2,34.2
"A8.AMYB12.1.2.trim.sam.counts","AMY",12,"1-2Batch12",0,32,120.342538833224,"Post","2Batch1","2Batch12Cage1","reorganized","1 hr",-2,4,-4,4,"same",35.4,35,36.7
"A8.PFCB8.4.4.trim.sam.counts","PFC",8,"4-4Batch8",77,40,357.720202284411,"Post","4Batch8","4Batch8Cage4","reorganized","1 hr",-2.49473684210526,3,3.84602143372758,1,"descenders",40.7,40.4,39.9
"A9.AMYB12.1.3.trim.sam.counts","AMY",12,"1-3Batch12",59,60,168.196115507627,"Post","3Batch1","3Batch12Cage1","reorganized","1 hr",3.04807692307692,1,4.86666666666667,1,"same",38.8,39.4,39.8
"A9.PFCB9.2.3.trim.sam.counts","PFC",9,"2-3Batch9",0,48,70.8141031940734,"Post","3Batch9","3Batch9Cage2","control","1 hr",-2.95833333333333,4,-4.44761904761905,4,"control",42.4,42.1,41.8
"B1.AMYB11.2.4.trim.sam.counts","AMY",11,"2-4Batch11",8,42,128.636463810472,"Post","4Batch1","4Batch11Cage2","reorganized","1 hr",-0.607142857142857,3,-2.54761904761905,3,"same",38.8,40.2,40
"B1.PFCB12.3.4.trim.sam.counts","PFC",12,"3-4Batch12",66,0,89.6988503150503,"Post","4Batch1","4Batch12Cage3","control","1 hr",3.83928571428571,1,4.74142857142857,1,"control",38.2,38.1,36.7
"B2.AMYB13.2.2.trim.sam.counts","AMY",13,"2-2Batch13",0,56,167.118260548578,"Post","2Batch1","2Batch13Cage2","reorganized","1 hr",-2.08333333333333,4,-4.01666666666667,4,"same",36,37.7,34.8
"B2.PFCB8.1.1.trim.sam.counts","PFC",8,"1-1Batch8",57,0,63.2210872671335,"Post","1Batch8","1Batch8Cage1","reorganized","1 hr",4.45833333333333,1,-2.15151515151515,3,"ascenders",41.5,43.5,43.9
"B3.AMYB13.4.3.trim.sam.counts","AMY",13,"4-3Batch13",0,61,391.078945481923,"Post","3Batch1","3Batch13Cage4","reorganized","1 hr",-0.466666666666667,3,5.52207977207977,1,"descenders",38.8,38.2,38.8
"B3.PFCB10.5.3.trim.sam.counts","PFC",10,"5-3Batch10",15,43,413.059060773447,"Post","3Batch1","3Batch10Cage5","reorganized","1 hr",-2.96296296296296,4,5.76342592592593,1,"descenders",42.9,43.3,42.3
"B4.AMYB9.1.3.trim.sam.counts","AMY",9,"1-3Batch9",59,0,345.402984352532,"Post","3Batch9","3Batch9Cage1","reorganized","1 hr",4.32777777777778,1,5.78418803418803,1,"same",43.8,43.6,45.1
"B4.PFCB8.2.4.trim.sam.counts","PFC",8,"2-4Batch8",0,42,154.21837931401,"Post","4Batch8","4Batch8Cage2","reorganized","1 hr",-3.83333333333333,4,5.6606884057971,1,"descenders",38.8,39,39.7
"B5.AMYB13.4.2.trim.sam.counts","AMY",13,"4-2Batch13",68,0,129.264012089489,"Post","2Batch1","2Batch13Cage4","reorganized","1 hr",3.55128205128205,1,-1.58333333333333,3,"ascenders",34,33.7,34.8
"B5.PFCB14.3.3.trim.sam.counts","PFC",14,"3-3Batch14",0,59,98.7630129266694,"Post","3Batch1","3Batch14Cage3","control","1 hr",-1.5047619047619,3,-2.67621623228031,3,"control",35.7,36.6,32.6
"B6.AMYB10.1.2.trim.sam.counts","AMY",10,"1-2Batch10",62,0,134.725106218733,"Post","2Batch1","2Batch10Cage1","reorganized","1 hr",3.70893141945774,1,-5.04333333333333,4,"ascenders",40.3,40.9,41
"B6.PFCB13.2.3.trim.sam.counts","PFC",13,"2-3Batch13",0,48,139.429671340338,"Post","3Batch1","3Batch13Cage2","reorganized","1 hr",-0.760683760683761,3,-2.41666666666667,3,"same",38.1,35.4,38.5
"B7.AMYB9.3.1.trim.sam.counts","AMY",9,"3-1Batch9",77,27,311.198653061814,"Post","1Batch9","1Batch9Cage3","reorganized","1 hr",4.44615384615385,1,-3.95833333333333,4,"ascenders",42.5,40.4,40.3
"B7.PFCB14.5.1.trim.sam.counts","PFC",14,"5-1Batch14",0,45,141.575163273998,"Post","1Batch1","1Batch14Cage5","control","1 hr",-3.375,4,-4.91818181818182,4,"control",39.4,39.3,39.8
"B8.AMYB14.1.2.trim.sam.counts","AMY",14,"1-2Batch14",62,32,452.552545730483,"Post","2Batch1","2Batch14Cage1","reorganized","1 hr",1.75238095238095,1,5.45,1,"same",42.9,41.5,42
"B8.PFCB14.5.2.trim.sam.counts","PFC",14,"5-2Batch14",36,17,100.075833319271,"Post","2Batch1","2Batch14Cage5","control","1 hr",-0.75,3,-1.43333333333333,3,"control",37.8,39.2,38.8
"B9.AMYB14.4.4.trim.sam.counts","AMY",14,"4-4Batch14",77,40,222.126301863549,"Post","4Batch1","4Batch14Cage4","reorganized","1 hr",2.44047619047619,1,-1.53070175438596,3,"ascenders",33.4,34.4,32.8
"B9.PFCB14.1.4.trim.sam.counts","PFC",14,"1-4Batch14",0,60,429.161837153181,"Post","4Batch1","4Batch14Cage1","reorganized","1 hr",-0.863095238095238,3,-1.86666666666667,3,"same",38.2,37.9,41
"C1.AMYB11.1.4.trim.sam.counts","AMY",11,"1-4Batch11",51,60,171.821962349397,"Post","4Batch1","4Batch11Cage1","reorganized","1 hr",4.19172932330827,1,-3.95348837209302,4,"ascenders",38.9,38.3,37.5
"C1.PFCB11.1.4.trim.sam.counts","PFC",11,"1-4Batch11",51,60,171.821962349397,"Post","4Batch1","4Batch11Cage1","reorganized","1 hr",4.19172932330827,1,-3.95348837209302,4,"ascenders",38.9,38.3,37.5
"C2.AMYB11.4.1.trim.sam.counts","AMY",11,"4-1Batch11",95,0,111.755151204637,"Post","1Batch1","1Batch11Cage4","reorganized","1 hr",3.01785714285714,1,-1.67982456140351,3,"ascenders",37.5,37.4,37.6
"C2.PFCB13.4.2.trim.sam.counts","PFC",13,"4-2Batch13",68,0,129.264012089489,"Post","2Batch1","2Batch13Cage4","reorganized","1 hr",3.55128205128205,1,-1.58333333333333,3,"ascenders",34,33.7,34.8
"C3.AMYB9.2.4.trim.sam.counts","AMY",9,"2-4Batch9",8,42,205.922082177967,"Post","4Batch9","4Batch9Cage2","control","1 hr",-1.5,3,-1.04901960784314,3,"control",42.6,43,42.8
"C3.PFCB13.5.3.trim.sam.counts","PFC",13,"5-3Batch13",15,0,94.3454232000456,"Post","3Batch1","3Batch13Cage5","control","1 hr",3.28333333333333,1,5.01428571428571,1,"control",38.3,39.1,38.6
"C4.AMYB14.1.1.trim.sam.counts","AMY",14,"1-1Batch14",57,0,65.4780896941236,"Post","1Batch1","1Batch14Cage1","reorganized","1 hr",4.71428571428572,1,-4.79761904761905,4,"ascenders",37.6,36.4,34
"C4.PFCB14.3.1.trim.sam.counts","PFC",14,"3-1Batch14",0,27,154.012951185335,"Post","1Batch1","1Batch14Cage3","control","1 hr",-2.73095238095238,4,-2.82896965734494,4,"control",41.5,43.6,37.8
"C5.AMYB8.4.1.trim.sam.counts","AMY",8,"4-1Batch8",95,0,207.341313043477,"Post","1Batch8","1Batch8Cage4","reorganized","1 hr",2.79885057471264,1,-2.19955300127714,4,"ascenders",43.4,41.9,41.2
"C5.PFCB11.4.1.trim.sam.counts","PFC",11,"4-1Batch11",95,0,111.755151204637,"Post","1Batch1","1Batch11Cage4","reorganized","1 hr",3.01785714285714,1,-1.67982456140351,3,"ascenders",37.5,37.4,37.6
"C6.AMYB14.5.2.trim.sam.counts","AMY",14,"5-2Batch14",36,17,100.075833319271,"Post","2Batch1","2Batch14Cage5","control","1 hr",-0.75,3,-1.43333333333333,3,"control",37.8,39.2,38.8
"C6.PFCB10.3.3.trim.sam.counts","PFC",10,"3-3Batch10",58,59,503.232724218499,"Post","3Batch1","3Batch10Cage3","reorganized","1 hr",5.34245014245014,1,4.9508547008547,1,"same",39.7,39.8,38.8
"C7.AMYB12.3.2.trim.sam.counts","AMY",12,"3-2Batch12",0,69,202.532783107409,"Post","2Batch1","2Batch12Cage3","control","1 hr",-1.70833333333333,3,-2.28571428571429,3,"control",36.8,37.3,37.3
"C7.PFCB12.4.3.trim.sam.counts","PFC",12,"4-3Batch12",0,61,243.139250328742,"Post","3Batch1","3Batch12Cage4","reorganized","1 hr",-2.29166666666667,4,4.61190476190476,1,"descenders",42.9,42.6,41.8
"C8.AMYB9.2.3.trim.sam.counts","AMY",9,"2-3Batch9",0,48,70.8141031940734,"Post","3Batch9","3Batch9Cage2","control","1 hr",-2.95833333333333,4,-4.44761904761905,4,"control",42.4,42.1,41.8
"C8.PFCB9.2.4.trim.sam.counts","PFC",9,"2-4Batch9",8,42,205.922082177967,"Post","4Batch9","4Batch9Cage2","control","1 hr",-1.5,3,-1.04901960784314,3,"control",42.6,43,42.8
"C9.AMYB13.1.4.trim.sam.counts","AMY",13,"1-4Batch13",51,60,149.443645142217,"Post","4Batch1","4Batch13Cage1","reorganized","1 hr",-1.55,4,3.9375,1,"descenders",38.7,36.6,37.9
"C9.PFCB8.3.4.trim.sam.counts","PFC",8,"3-4Batch8",66,0,194.110094710067,"Post","4Batch8","4Batch8Cage3","reorganized","1 hr",5.54625199362042,1,5.86919191919192,1,"same",38.4,39,37.6
"D1.AMYB9.3.2.trim.sam.counts","AMY",9,"3-2Batch9",0,69,407.261064662692,"Post","2Batch9","2Batch9Cage3","reorganized","1 hr",-0.854093567251462,3,-0.396739130434783,3,"same",44.1,42.4,43.2
"D1.PFCB10.1.2.trim.sam.counts","mPF",10,"1-2Batch10",62,0,134.725106218733,"Post","2Batch1","2Batch10Cage1","reorganized","1 hr",3.70893141945774,1,-5.04333333333333,4,"ascenders",40.3,40.9,41
"D2.AMYB9.5.3.trim.sam.counts","AMY",9,"5-3Batch9",15,43,459.13817297277,"Post","3Batch9","3Batch9Cage5","reorganized","1 hr",-0.425,3,4.84826203208556,1,"descenders",43.7,42.9,43
"D2.PFCB9.5.3.trim.sam.counts","PFC",9,"5-3Batch9",15,43,459.13817297277,"Post","3Batch9","3Batch9Cage5","reorganized","1 hr",-0.425,3,4.84826203208556,1,"descenders",43.7,42.9,43
"D3.AMYB14.5.1.trim.sam.counts","AMY",14,"5-1Batch14",0,45,141.575163273998,"Post","1Batch1","1Batch14Cage5","control","1 hr",-3.375,4,-4.91818181818182,4,"control",39.4,39.3,39.8
"D3.PFCB12.2.2.trim.sam.counts","PFC",12,"2-2Batch12",8,56,145.791648315593,"Post","2Batch1","2Batch12Cage2","reorganized","1 hr",-0.971428571428571,3,-1,3,"same",34.9,33.1,33.1
"D4.AMYB8.3.3.trim.sam.counts","AMY",8,"3-3Batch8",58,59,427.209394635226,"Post","3Batch8","3Batch8Cage3","reorganized","1 hr",-0.666666666666667,3,-2.12222222222222,3,"same",40.8,39.5,40.9
"D4.PFCB10.5.2.trim.sam.counts","PFC",10,"5-2Batch10",36,0,69.865464480656,"Post","2Batch1","2Batch10Cage5","reorganized","1 hr",3.47916666666667,1,-1.59259259259259,3,"ascenders",40.5,40.1,40.8
"D5.AMYB9.3.4.trim.sam.counts","AMY",9,"3-4Batch9",0,30,340.627515661503,"Post","4Batch9","4Batch9Cage3","reorganized","1 hr",-3.72777777777778,4,4.64311594202899,1,"descenders",42,40.9,41.3
"D5.PFCB9.1.3.trim.sam.counts","PFC",9,"1-3Batch9",59,0,345.402984352532,"Post","3Batch9","3Batch9Cage1","reorganized","1 hr",4.32777777777778,1,5.78418803418803,1,"same",43.8,43.6,45.1
"D6.AMYB12.4.1.trim.sam.counts","AMY",12,"4-1Batch12",95,45,437.441903981297,"Post","1Batch1","1Batch12Cage4","reorganized","1 hr",3.29175824175824,1,-1.86623931623932,3,"ascenders",34.6,34.8,34.5
"D6.PFCB8.4.1.trim.sam.counts","PFC",8,"4-1Batch8",95,0,207.341313043477,"Post","1Batch8","1Batch8Cage4","reorganized","1 hr",2.79885057471264,1,-2.19955300127714,4,"ascenders",43.4,41.9,41.2
