"Well","plate","dilution_factor","final_conc_ng_ul","mean_con_ng_ul","batch","period","post_id","precage","pre_id","post_idbatch","pre_idbatch","pre_idbatchcage","group","time","Postds","Postrank","Preds","Prerank","condition"
"D3",1,100,84.1847538864602,81.1378740131697,1,"Pre","1-1","Cage1","1","1-1Batch1","1Batch1","1Batch1Cage1","reorganized","25hr",5.45539215686275,1,5.86467447390856,1,"same"
"D4",1,100,78.0909941398791,81.1378740131697,1,"Pre","1-1","Cage1","1","1-1Batch1","1Batch1","1Batch1Cage1","reorganized","25hr",5.45539215686275,1,5.86467447390856,1,"same"
"E3",1,100,66.6326272193081,71.8388019515396,1,"Post","1-1","Cage1","1","1-1Batch1","1Batch1","1Batch1Cage1","reorganized","25hr",5.45539215686275,1,5.86467447390856,1,"same"
"E4",1,100,77.0449766837712,71.8388019515396,1,"Post","1-1","Cage1","1","1-1Batch1","1Batch1","1Batch1Cage1","reorganized","25hr",5.45539215686275,1,5.86467447390856,1,"same"
"F3",1,100,154.807799033399,178.052370976966,1,"Pre","2-1","Cage2","1","2-1Batch1","1Batch1","1Batch1Cage2","reorganized","25hr",-4.70833333333333,4,5.59761472647135,1,"descenders"
"F4",1,100,201.296942920532,178.052370976966,1,"Pre","2-1","Cage2","1","2-1Batch1","1Batch1","1Batch1Cage2","reorganized","25hr",-4.70833333333333,4,5.59761472647135,1,"descenders"
"G3",1,100,203.334012490154,219.444441343995,1,"Post","2-1","Cage2","1","2-1Batch1","1Batch1","1Batch1Cage2","reorganized","25hr",-4.70833333333333,4,5.59761472647135,1,"descenders"
"G4",1,100,235.554870197835,219.444441343995,1,"Post","2-1","Cage2","1","2-1Batch1","1Batch1","1Batch1Cage2","reorganized","25hr",-4.70833333333333,4,5.59761472647135,1,"descenders"
"H3",1,100,124.551397200479,127.636748215402,10,"Pre","3-2","Cage3","2","3-2Batch10","2Batch10","2Batch10Cage3","reorganized","1 hr",-2.41746411483254,4,-3.57777777777778,4,"same"
"H4",1,100,130.722099230325,127.636748215402,10,"Pre","3-2","Cage3","2","3-2Batch10","2Batch10","2Batch10Cage3","reorganized","1 hr",-2.41746411483254,4,-3.57777777777778,4,"same"
"A5",1,100,339.268143707453,339.268143707453,10,"Post","3-2","Cage3","2","3-2Batch10","2Batch10","2Batch10Cage3","reorganized","1 hr",-2.41746411483254,4,-3.57777777777778,4,"same"
"A6",1,100,339.268143707453,339.268143707453,10,"Post","3-2","Cage3","2","3-2Batch10","2Batch10","2Batch10Cage3","reorganized","1 hr",-2.41746411483254,4,-3.57777777777778,4,"same"
"B5",1,100,77.0449766837712,72.9403415248427,10,"Pre","1-2","Cage1","2","1-2Batch10","2Batch10","2Batch10Cage1","reorganized","1 hr",3.70893141945774,1,-5.04333333333333,4,"ascenders"
"B6",1,100,68.8357063659141,72.9403415248427,10,"Pre","1-2","Cage1","2","1-2Batch10","2Batch10","2Batch10Cage1","reorganized","1 hr",3.70893141945774,1,-5.04333333333333,4,"ascenders"
"C5",1,100,140.832588340458,134.725106218733,10,"Post","1-2","Cage1","2","1-2Batch10","2Batch10","2Batch10Cage1","reorganized","1 hr",3.70893141945774,1,-5.04333333333333,4,"ascenders"
"C6",1,100,128.617624097008,134.725106218733,10,"Post","1-2","Cage1","2","1-2Batch10","2Batch10","2Batch10Cage1","reorganized","1 hr",3.70893141945774,1,-5.04333333333333,4,"ascenders"
"D5",1,100,53.7257391950601,55.6349295959924,11,"Pre","5-2","Cage5","2","5-2Batch11","2Batch11","2Batch11Cage5","control","1 hr",3.79166666666667,1,5.66195131301514,1,"control"
"D6",1,100,57.5441199969247,55.6349295959924,11,"Pre","5-2","Cage5","2","5-2Batch11","2Batch11","2Batch11Cage5","control","1 hr",3.79166666666667,1,5.66195131301514,1,"control"
"E5",1,100,109.981714508778,112.56600060094,11,"Post","5-2","Cage5","2","5-2Batch11","2Batch11","2Batch11Cage5","control","1 hr",3.79166666666667,1,5.66195131301514,1,"control"
"E6",1,100,115.150286693103,112.56600060094,11,"Post","5-2","Cage5","2","5-2Batch11","2Batch11","2Batch11Cage5","control","1 hr",3.79166666666667,1,5.66195131301514,1,"control"
"F5",1,100,35.3838634338633,35.1740845192004,11,"Pre","5-3","Cage5","3","5-3Batch11","3Batch11","3Batch11Cage5","control","1 hr",-1.80555555555556,4,-4.66666666666667,4,"control"
"F6",1,100,34.9643056045374,35.1740845192004,11,"Pre","5-3","Cage5","3","5-3Batch11","3Batch11","3Batch11Cage5","control","1 hr",-1.80555555555556,4,-4.66666666666667,4,"control"
"G5",1,100,86.5541589710884,81.7995678274298,11,"Post","5-3","Cage5","3","5-3Batch11","3Batch11","3Batch11Cage5","control","1 hr",-1.80555555555556,4,-4.66666666666667,4,"control"
"G6",1,100,77.0449766837712,81.7995678274298,11,"Post","5-3","Cage5","3","5-3Batch11","3Batch11","3Batch11Cage5","control","1 hr",-1.80555555555556,4,-4.66666666666667,4,"control"
"H5",1,100,92.876389077491,92.2201569392967,12,"Pre","1-3","Cage1","3","1-3Batch12","3Batch12","3Batch12Cage1","reorganized","1 hr",3.04807692307692,1,4.86666666666667,1,"same"
"H6",1,100,91.5639248011023,92.2201569392967,12,"Pre","1-3","Cage1","3","1-3Batch12","3Batch12","3Batch12Cage1","reorganized","1 hr",3.04807692307692,1,4.86666666666667,1,"same"
"A7",1,100,177.419183330408,168.196115507627,12,"Post","1-3","Cage1","3","1-3Batch12","3Batch12","3Batch12Cage1","reorganized","1 hr",3.04807692307692,1,4.86666666666667,1,"same"
"A8",1,100,158.973047684846,168.196115507627,12,"Post","1-3","Cage1","3","1-3Batch12","3Batch12","3Batch12Cage1","reorganized","1 hr",3.04807692307692,1,4.86666666666667,1,"same"
"B7",1,100,120.665437886258,112.121577922023,12,"Pre","4-3","Cage4","3","4-3Batch12","3Batch12","3Batch12Cage4","reorganized","1 hr",-2.29166666666667,4,4.61190476190476,1,"descenders"
"B8",1,100,103.577717957787,112.121577922023,12,"Pre","4-3","Cage4","3","4-3Batch12","3Batch12","3Batch12Cage4","reorganized","1 hr",-2.29166666666667,4,4.61190476190476,1,"descenders"
"C7",1,100,260.69671201221,243.139250328742,12,"Post","4-3","Cage4","3","4-3Batch12","3Batch12","3Batch12Cage4","reorganized","1 hr",-2.29166666666667,4,4.61190476190476,1,"descenders"
"C8",1,100,225.581788645273,243.139250328742,12,"Post","4-3","Cage4","3","4-3Batch12","3Batch12","3Batch12Cage4","reorganized","1 hr",-2.29166666666667,4,4.61190476190476,1,"descenders"
"D7",1,100,254.755312141221,231.129842787998,13,"Pre","2-2","Cage2","2","2-2Batch13","2Batch13","2Batch13Cage2","reorganized","1 hr",-2.08333333333333,4,-4.01666666666667,4,"same"
"D8",1,100,207.504373434775,231.129842787998,13,"Pre","2-2","Cage2","2","2-2Batch13","2Batch13","2Batch13Cage2","reorganized","1 hr",-2.08333333333333,4,-4.01666666666667,4,"same"
"E7",1,100,163.306511855957,167.118260548578,13,"Post","2-2","Cage2","2","2-2Batch13","2Batch13","2Batch13Cage2","reorganized","1 hr",-2.08333333333333,4,-4.01666666666667,4,"same"
"E8",1,100,170.9300092412,167.118260548578,13,"Post","2-2","Cage2","2","2-2Batch13","2Batch13","2Batch13Cage2","reorganized","1 hr",-2.08333333333333,4,-4.01666666666667,4,"same"
"F7",1,100,50.1995736103189,50.3542278335573,13,"Pre","1-2","Cage1","2","1-2Batch13","2Batch13","2Batch13Cage1","reorganized","1 hr",2.75,1,-2.94444444444444,4,"ascenders"
"F8",1,100,50.5088820567957,50.3542278335573,13,"Pre","1-2","Cage1","2","1-2Batch13","2Batch13","2Batch13Cage1","reorganized","1 hr",2.75,1,-2.94444444444444,4,"ascenders"
"G7",1,100,79.1553636224839,82.5545162711961,13,"Post","1-2","Cage1","2","1-2Batch13","2Batch13","2Batch13Cage1","reorganized","1 hr",2.75,1,-2.94444444444444,4,"ascenders"
"G8",1,100,85.9536689199082,82.5545162711961,13,"Post","1-2","Cage1","2","1-2Batch13","2Batch13","2Batch13Cage1","reorganized","1 hr",2.75,1,-2.94444444444444,4,"ascenders"
"H7",1,100,86.5541589710884,81.0317772631485,14,"Pre","5-4","Cage5","4","5-4Batch14","4Batch14","4Batch14Cage5","control","1 hr",3,1,5.21818181818182,1,"control"
"H8",1,100,75.5093955552087,81.0317772631485,14,"Pre","5-4","Cage5","4","5-4Batch14","4Batch14","4Batch14Cage5","control","1 hr",3,1,5.21818181818182,1,"control"
"A9",1,100,87.7718434863067,88.080514003309,14,"Post","5-4","Cage5","4","5-4Batch14","4Batch14","4Batch14Cage5","control","1 hr",3,1,5.21818181818182,1,"control"
"A10",1,100,88.3891845203112,88.080514003309,14,"Post","5-4","Cage5","4","5-4Batch14","4Batch14","4Batch14Cage5","control","1 hr",3,1,5.21818181818182,1,"control"
"B9",1,100,69.2871482183359,72.9079296177076,14,"Pre","5-1","Cage5","1","5-1Batch14","1Batch14","1Batch14Cage5","control","1 hr",-3.375,4,-4.91818181818182,4,"control"
"B10",1,100,76.5287110170792,72.9079296177076,14,"Pre","5-1","Cage5","1","5-1Batch14","1Batch14","1Batch14Cage5","control","1 hr",-3.375,4,-4.91818181818182,4,"control"
"C9",1,100,146.9458187714,141.575163273998,14,"Post","5-1","Cage5","1","5-1Batch14","1Batch14","1Batch14Cage5","control","1 hr",-3.375,4,-4.91818181818182,4,"control"
"C10",1,100,136.204507776596,141.575163273998,14,"Post","5-1","Cage5","1","5-1Batch14","1Batch14","1Batch14Cage5","control","1 hr",-3.375,4,-4.91818181818182,4,"control"
"D9",1,100,79.1553636224839,75.1428843572082,2,"Pre","2-2","Cage2","2","2-2Batch2","2Batch2","2Batch2Cage2","reorganized","25hr",4.43722943722944,1,4.77380952380952,1,"same"
"D10",1,100,71.1304050919324,75.1428843572082,2,"Pre","2-2","Cage2","2","2-2Batch2","2Batch2","2Batch2Cage2","reorganized","25hr",4.43722943722944,1,4.77380952380952,1,"same"
"E9",1,100,69.2871482183359,63.7797764664114,2,"Post","2-2","Cage2","2","2-2Batch2","2Batch2","2Batch2Cage2","reorganized","25hr",4.43722943722944,1,4.77380952380952,1,"same"
"E10",1,100,58.2724047144869,63.7797764664114,2,"Post","2-2","Cage2","2","2-2Batch2","2Batch2","2Batch2Cage2","reorganized","25hr",4.43722943722944,1,4.77380952380952,1,"same"
"F9",1,100,46.3680635719289,50.7233860510606,2,"Pre","3-4","Cage3","4","3-4Batch2","4Batch2","4Batch2Cage3","reorganized","25hr",-3.53246753246753,4,4.14957983193277,1,"descenders"
"F10",1,100,55.0787085301923,50.7233860510606,2,"Pre","3-4","Cage3","4","3-4Batch2","4Batch2","4Batch2Cage3","reorganized","25hr",-3.53246753246753,4,4.14957983193277,1,"descenders"
"G9",1,100,51.4499997626938,56.3740843036573,2,"Post","3-4","Cage3","4","3-4Batch2","4Batch2","4Batch2Cage3","reorganized","25hr",-3.53246753246753,4,4.14957983193277,1,"descenders"
"G10",1,100,61.2981688446209,56.3740843036573,2,"Post","3-4","Cage3","4","3-4Batch2","4Batch2","4Batch2Cage3","reorganized","25hr",-3.53246753246753,4,4.14957983193277,1,"descenders"
"H9",1,100,117.862508244114,115.193578839749,3,"Pre","1-3","Cage1","3","1-3Batch3","3Batch3","3Batch3Cage1","control","25hr",3.73461538461539,1,5.83433886375063,1,"control"
"H10",1,100,112.524649435385,115.193578839749,3,"Pre","1-3","Cage1","3","1-3Batch3","3Batch3","3Batch3Cage1","control","25hr",3.73461538461539,1,5.83433886375063,1,"control"
"A11",1,100,47.5106882355602,50.6182137153102,3,"Post","1-3","Cage1","3","1-3Batch3","3Batch3","3Batch3Cage1","control","25hr",3.73461538461539,1,5.83433886375063,1,"control"
"A12",1,100,53.7257391950601,50.6182137153102,3,"Post","1-3","Cage1","3","1-3Batch3","3Batch3","3Batch3Cage1","control","25hr",3.73461538461539,1,5.83433886375063,1,"control"
"B11",1,100,34.3444337447019,33.2545342406921,3,"Pre","1-2","Cage1","2","1-2Batch3","2Batch3","2Batch3Cage1","control","25hr",-0.72948717948718,4,-4.94444444444444,4,"control"
"B12",1,100,32.1646347366822,33.2545342406921,3,"Pre","1-2","Cage1","2","1-2Batch3","2Batch3","2Batch3Cage1","control","25hr",-0.72948717948718,4,-4.94444444444444,4,"control"
"C11",1,100,59.0117143668002,55.7115397470245,3,"Post","1-2","Cage1","2","1-2Batch3","2Batch3","2Batch3Cage1","control","25hr",-0.72948717948718,4,-4.94444444444444,4,"control"
"C12",1,100,52.4113651272488,55.7115397470245,3,"Post","1-2","Cage1","2","1-2Batch3","2Batch3","2Batch3Cage1","control","25hr",-0.72948717948718,4,-4.94444444444444,4,"control"
"D11",1,100,93.5420739446408,103.466279864663,4,"Pre","2-4","Cage2","4","2-4Batch4","4Batch4","4Batch4Cage2","reorganized","25hr",-2.38846153846154,4,-4.73939393939394,4,"same"
"D12",1,100,113.390485784685,103.466279864663,4,"Pre","2-4","Cage2","4","2-4Batch4","4Batch4","4Batch4Cage2","reorganized","25hr",-2.38846153846154,4,-4.73939393939394,4,"same"
"E11",1,100,180.803736245347,169.888391965096,4,"Post","2-4","Cage2","4","2-4Batch4","4Batch4","4Batch4Cage2","reorganized","25hr",-2.38846153846154,4,-4.73939393939394,4,"same"
"E12",1,100,158.973047684846,169.888391965096,4,"Post","2-4","Cage2","4","2-4Batch4","4Batch4","4Batch4Cage2","reorganized","25hr",-2.38846153846154,4,-4.73939393939394,4,"same"
"F11",1,100,211.807935899174,202.630628419493,4,"Pre","5-2","Cage5","2","5-2Batch4","2Batch4","2Batch4Cage5","reorganized","25hr",4.2989010989011,1,-5.37777777777778,4,"ascenders"
"F12",1,100,193.453320939812,202.630628419493,4,"Pre","5-2","Cage5","2","5-2Batch4","2Batch4","2Batch4Cage5","reorganized","25hr",4.2989010989011,1,-5.37777777777778,4,"ascenders"
"G11",1,100,214.011590834953,238.179680818244,4,"Post","5-2","Cage5","2","5-2Batch4","2Batch4","2Batch4Cage5","reorganized","25hr",4.2989010989011,1,-5.37777777777778,4,"ascenders"
"G12",1,100,246.235710812674,238.179680818244,4,"Post","5-2","Cage5","2","5-2Batch4","2Batch4","2Batch4Cage5","reorganized","25hr",4.2989010989011,1,-5.37777777777778,4,"ascenders"
"H11",1,100,246.235710812674,238.179680818244,4,"Post","5-2","Cage5","2","5-2Batch4","2Batch4","2Batch4Cage5","reorganized","25hr",4.2989010989011,1,-5.37777777777778,4,"ascenders"
"H12",1,100,246.235710812674,238.179680818244,4,"Post","5-2","Cage5","2","5-2Batch4","2Batch4","2Batch4Cage5","reorganized","25hr",4.2989010989011,1,-5.37777777777778,4,"ascenders"
"D3",2,100,100.891278967526,111.769936089707,9,"Pre","3-1","Cage3","1","3-1Batch9","1Batch9","1Batch9Cage3","reorganized","1 hr",4.44615384615385,1,-3.95833333333333,4,"ascenders"
"D4",2,100,122.648593211888,111.769936089707,9,"Pre","3-1","Cage3","1","3-1Batch9","1Batch9","1Batch9Cage3","reorganized","1 hr",4.44615384615385,1,-3.95833333333333,4,"ascenders"
"E3",2,100,289.345754429032,311.198653061814,9,"Post","3-1","Cage3","1","3-1Batch9","1Batch9","1Batch9Cage3","reorganized","1 hr",4.44615384615385,1,-3.95833333333333,4,"ascenders"
"E4",2,100,333.051551694597,311.198653061814,9,"Post","3-1","Cage3","1","3-1Batch9","1Batch9","1Batch9Cage3","reorganized","1 hr",4.44615384615385,1,-3.95833333333333,4,"ascenders"
"F3",2,100,38.6114706992794,41.1896015383956,9,"Pre","4-1","Cage4","1","4-1Batch9","1Batch9","1Batch9Cage4","reorganized","1 hr",-4.56043956043956,4,-3.26190476190476,4,"same"
"F4",2,100,43.7677323775118,41.1896015383956,9,"Pre","4-1","Cage4","1","4-1Batch9","1Batch9","1Batch9Cage4","reorganized","1 hr",-4.56043956043956,4,-3.26190476190476,4,"same"
"G3",2,100,223.686761065898,211.12109488497,9,"Post","4-1","Cage4","1","4-1Batch9","1Batch9","1Batch9Cage4","reorganized","1 hr",-4.56043956043956,4,-3.26190476190476,4,"same"
"G4",2,100,198.555428704041,211.12109488497,9,"Post","4-1","Cage4","1","4-1Batch9","1Batch9","1Batch9Cage4","reorganized","1 hr",-4.56043956043956,4,-3.26190476190476,4,"same"
"H3",2,100,86.2608722474428,91.3103794344965,8,"Pre","2-4","Cage2","4","2-4Batch8","4Batch8","4Batch8Cage2","reorganized","1 hr",-3.83333333333333,4,5.6606884057971,1,"descenders"
"H4",2,100,96.3598866215501,91.3103794344965,8,"Pre","2-4","Cage2","4","2-4Batch8","4Batch8","4Batch8Cage2","reorganized","1 hr",-3.83333333333333,4,5.6606884057971,1,"descenders"
"A5",2,100,149.698766560072,154.21837931401,8,"Post","2-4","Cage2","4","2-4Batch8","4Batch8","4Batch8Cage2","reorganized","1 hr",-3.83333333333333,4,5.6606884057971,1,"descenders"
"A6",2,100,158.737992067949,154.21837931401,8,"Post","2-4","Cage2","4","2-4Batch8","4Batch8","4Batch8Cage2","reorganized","1 hr",-3.83333333333333,4,5.6606884057971,1,"descenders"
"B5",2,100,144.120090945226,133.913414431336,8,"Pre","3-4","Cage3","4","3-4Batch8","4Batch8","4Batch8Cage3","reorganized","1 hr",5.54625199362042,1,5.86919191919192,1,"same"
"B6",2,100,123.706737917447,133.913414431336,8,"Pre","3-4","Cage3","4","3-4Batch8","4Batch8","4Batch8Cage3","reorganized","1 hr",5.54625199362042,1,5.86919191919192,1,"same"
"C5",2,100,196.301555900028,194.110094710067,8,"Post","3-4","Cage3","4","3-4Batch8","4Batch8","4Batch8Cage3","reorganized","1 hr",5.54625199362042,1,5.86919191919192,1,"same"
"C6",2,100,191.918633520105,194.110094710067,8,"Post","3-4","Cage3","4","3-4Batch8","4Batch8","4Batch8Cage3","reorganized","1 hr",5.54625199362042,1,5.86919191919192,1,"same"
"D5",2,100,111.872249990232,122.888093440752,7,"Pre","5-2","Cage5","2","5-2Batch7","2Batch7","2Batch7Cage5","reorganized","25hr",5.80986887508627,1,-4.91601731601732,4,"ascenders"
"D6",2,100,133.903936891271,122.888093440752,7,"Pre","5-2","Cage5","2","5-2Batch7","2Batch7","2Batch7Cage5","reorganized","25hr",5.80986887508627,1,-4.91601731601732,4,"ascenders"
"E5",2,100,160.329630731182,172.984731820729,7,"Post","5-2","Cage5","2","5-2Batch7","2Batch7","2Batch7Cage5","reorganized","25hr",5.80986887508627,1,-4.91601731601732,4,"ascenders"
"E6",2,100,185.639832910276,172.984731820729,7,"Post","5-2","Cage5","2","5-2Batch7","2Batch7","2Batch7Cage5","reorganized","25hr",5.80986887508627,1,-4.91601731601732,4,"ascenders"
"F5",2,100,30.5726073227821,31.528034244625,7,"Pre","4-2","Cage4","2","4-2Batch7","2Batch7","2Batch7Cage4","reorganized","25hr",-4.41304347826087,4,-4.5,4,"same"
"F6",2,100,32.483461166468,31.528034244625,7,"Pre","4-2","Cage4","2","4-2Batch7","2Batch7","2Batch7Cage4","reorganized","25hr",-4.41304347826087,4,-4.5,4,"same"
"G5",2,100,258.151772461112,269.557178397448,7,"Post","4-2","Cage4","2","4-2Batch7","2Batch7","2Batch7Cage4","reorganized","25hr",-4.41304347826087,4,-4.5,4,"same"
"G6",2,100,280.962584333783,269.557178397448,7,"Post","4-2","Cage4","2","4-2Batch7","2Batch7","2Batch7Cage4","reorganized","25hr",-4.41304347826087,4,-4.5,4,"same"
"H5",2,100,43.7677323775118,47.9891481607292,6,"Pre","2-1","Cage2","1","2-1Batch6","1Batch6","1Batch6Cage2","reorganized","25hr",5.16982323232323,1,5.46953046953047,1,"same"
"H6",2,100,52.2105639439466,47.9891481607292,6,"Pre","2-1","Cage2","1","2-1Batch6","1Batch6","1Batch6Cage2","reorganized","25hr",5.16982323232323,1,5.46953046953047,1,"same"
"A7",2,100,94.2063516406397,87.2825689543017,6,"Post","2-1","Cage2","1","2-1Batch6","1Batch6","1Batch6Cage2","reorganized","25hr",5.16982323232323,1,5.46953046953047,1,"same"
"A8",2,100,80.3587862679636,87.2825689543017,6,"Post","2-1","Cage2","1","2-1Batch6","1Batch6","1Batch6Cage2","reorganized","25hr",5.16982323232323,1,5.46953046953047,1,"same"
"B7",2,100,136.348526131738,125.505753644147,6,"Pre","1-4","Cage1","4","1-4Batch6","4Batch6","4Batch6Cage1","reorganized","25hr",-4.98611111111111,4,2.50641025641026,1,"descenders"
"B8",2,100,114.662981156556,125.505753644147,6,"Pre","1-4","Cage1","4","1-4Batch6","4Batch6","4Batch6Cage1","reorganized","25hr",-4.98611111111111,4,2.50641025641026,1,"descenders"
"C7",2,100,24.9583592340145,24.2273088025016,6,"Post","1-4","Cage1","4","1-4Batch6","4Batch6","4Batch6Cage1","reorganized","25hr",-4.98611111111111,4,2.50641025641026,1,"descenders"
"C8",2,100,23.4962583709887,24.2273088025016,6,"Post","1-4","Cage1","4","1-4Batch6","4Batch6","4Batch6Cage1","reorganized","25hr",-4.98611111111111,4,2.50641025641026,1,"descenders"
"D7",2,100,33.5797411895451,37.2204812598304,5,"Pre","1-3","Cage1","3","1-3Batch5","3Batch5","3Batch5Cage1","control","25hr",-4.26666666666667,4,-4.90151515151515,4,"control"
"D8",2,100,40.8612213301157,37.2204812598304,5,"Pre","1-3","Cage1","3","1-3Batch5","3Batch5","3Batch5Cage1","control","25hr",-4.26666666666667,4,-4.90151515151515,4,"control"
"E7",2,100,312.305467487569,296.634025910676,5,"Post","1-3","Cage1","3","1-3Batch5","3Batch5","3Batch5Cage1","control","25hr",-4.26666666666667,4,-4.90151515151515,4,"control"
"E8",2,100,280.962584333783,296.634025910676,5,"Post","1-3","Cage1","3","1-3Batch5","3Batch5","3Batch5Cage1","control","25hr",-4.26666666666667,4,-4.90151515151515,4,"control"
"F7",2,100,92.1228594284735,99.35709572001,5,"Pre","1-4","Cage1","4","1-4Batch5","4Batch5","4Batch5Cage1","control","25hr",5.30707070707071,1,5.69410774410774,1,"control"
"F8",2,100,106.591332011546,99.35709572001,5,"Pre","1-4","Cage1","4","1-4Batch5","4Batch5","4Batch5Cage1","control","25hr",5.30707070707071,1,5.69410774410774,1,"control"
"G7",2,100,93.5042376943216,99.626057724584,5,"Post","1-4","Cage1","4","1-4Batch5","4Batch5","4Batch5Cage1","control","25hr",5.30707070707071,1,5.69410774410774,1,"control"
"G8",2,100,105.747877754846,99.626057724584,5,"Post","1-4","Cage1","4","1-4Batch5","4Batch5","4Batch5Cage1","control","25hr",5.30707070707071,1,5.69410774410774,1,"control"
"H7",2,100,151.147262986627,163.52207932221,4,"Pre","3-2","Cage3","2","3-2Batch4","2Batch4","2Batch4Cage3","reorganized","25hr",-3.23939393939394,4,5.45697577276525,1,"descenders"
"H8",2,100,175.896895657793,163.52207932221,4,"Pre","3-2","Cage3","2","3-2Batch4","2Batch4","2Batch4Cage3","reorganized","25hr",-3.23939393939394,4,5.45697577276525,1,"descenders"
"A9",2,100,102.472368127729,111.014492252825,4,"Post","3-2","Cage3","2","3-2Batch4","2Batch4","2Batch4Cage3","reorganized","25hr",-3.23939393939394,4,5.45697577276525,1,"descenders"
"A10",2,100,119.556616377922,111.014492252825,4,"Post","3-2","Cage3","2","3-2Batch4","2Batch4","2Batch4Cage3","reorganized","25hr",-3.23939393939394,4,5.45697577276525,1,"descenders"
"B9",2,100,73.0159941683297,75.858266660179,4,"Pre","4-1","Cage4","1","4-1Batch4","1Batch4","1Batch4Cage4","reorganized","25hr",5.82017825311943,1,5.60805860805861,1,"same"
"B10",2,100,78.7005391520283,75.858266660179,4,"Pre","4-1","Cage4","1","4-1Batch4","1Batch4","1Batch4Cage4","reorganized","25hr",5.82017825311943,1,5.60805860805861,1,"same"
"C9",2,100,78.1585539221352,71.9378705562293,4,"Post","4-1","Cage4","1","4-1Batch4","1Batch4","1Batch4Cage4","reorganized","25hr",5.82017825311943,1,5.60805860805861,1,"same"
"C10",2,100,65.7171871903233,71.9378705562293,4,"Post","4-1","Cage4","1","4-1Batch4","1Batch4","1Batch4Cage4","reorganized","25hr",5.82017825311943,1,5.60805860805861,1,"same"
"D9",2,100,79.8005779211434,86.3051793093466,3,"Pre","2-3","Cage2","3","2-3Batch3","3Batch3","3Batch3Cage2","control","25hr",4.54825174825175,1,4.85391941391941,1,"control"
"D10",2,100,92.8097806975498,86.3051793093466,3,"Pre","2-3","Cage2","3","2-3Batch3","3Batch3","3Batch3Cage2","control","25hr",4.54825174825175,1,4.85391941391941,1,"control"
