Timestamp,Cage ,OG Cage Animal 1,Animal 1,Animal 1- Behavior,OG Cage Animal 2,Animal 2,Animal 2- Behavior,Observer name/Comments,Start/End,Outside of designated observation time
11/14/2019 9:37:54,Cage 1,Cage 1,1,Lunge,Cage 1,1,Lunge,Tmm,Start,
11/14/2019 9:38:22,Cage 2,Cage 4,2,Bite/Fight,Cage 5,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 9:38:46,Cage 1,Cage 3,4,Bite/Fight,Cage 4,1,Subordinate posture,,,
11/14/2019 9:39:00,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,Freeze/immobility,,,
11/14/2019 9:39:14,Cage 5,Cage 1,4,Bite/Fight,Cage 1,2,"Flee, Subordinate posture",,,
11/14/2019 9:39:34,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,"Subordinate posture, Freeze/immobility",,,Yes
11/14/2019 9:40:30,Cage 2,Cage 4,2,Bite/Fight,Cage 3,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 9:40:53,Cage 5,Cage 1,4,Bite/Fight,Cage 1,3,Freeze/immobility,,,
11/14/2019 9:41:10,Cage 5,Cage 1,4,Bite/Fight,Cage 1,1,Freeze/immobility,,,
11/14/2019 9:42:25,Cage 2,Cage 4,2,Bite/Fight,Cage 5,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 9:42:42,Cage 2,Cage 4,2,Bite/Fight,Cage 3,1,Freeze/immobility,,,
11/14/2019 9:43:21,Cage 5,Cage 1,4,Bite/Fight,Cage 1,2,Freeze/immobility,,,
11/14/2019 9:44:13,Cage 2,Cage 4,2,"Lunge, Bite/Fight",Cage 2,3,"Subordinate posture, Freeze/immobility",,,
11/14/2019 9:45:09,Cage 1,Cage 3,4,Bite/Fight,Cage 4,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 9:45:37,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,Freeze/immobility,,,
11/14/2019 9:45:59,Cage 2,Cage 4,2,Bite/Fight,Cage 3,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 9:46:12,Cage 2,Cage 4,2,Bite/Fight,Cage 2,3,Flee,,,
11/14/2019 9:46:36,Cage 3,Cage 4,3,Bite/Fight,Cage 3,3,Subordinate posture,,,
11/14/2019 9:47:09,Cage 3,Cage 5,2,Bite/Fight,Cage 3,3,"Subordinate posture, Freeze/immobility",,,
11/14/2019 9:47:31,Cage 1,Cage 3,4,Bite/Fight,Cage 2,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 9:47:55,Cage 3,Cage 5,2,Bite/Fight,Cage 3,3,Freeze/immobility,,,
11/14/2019 9:48:10,Cage 5,Cage 1,2,Bite/Fight,Cage 1,1,Freeze/immobility,,,
11/14/2019 9:48:59,Cage 2,Cage 4,2,Bite/Fight,Cage 3,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 9:49:16,Cage 2,Cage 4,2,Bite/Fight,Cage 5,1,Freeze/immobility,,,Yes
11/14/2019 9:49:50,Cage 3,Cage 4,3,"Lunge, Bite/Fight",Cage 5,2,Subordinate posture,,,
11/14/2019 9:50:19,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,Freeze/immobility,,,
11/14/2019 9:50:55,Cage 3,Cage 5,2,Bite/Fight,Cage 2,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 9:51:32,Cage 3,Cage 5,2,"Bite/Fight, Mount",Cage 3,3,Freeze/immobility,,,
11/14/2019 9:51:56,Cage 2,Cage 4,2,Bite/Fight,Cage 3,1,Subordinate posture,,,
11/14/2019 9:53:16,Cage 1,Cage 4,1,Sniff,Cage 5,4,Subordinate posture,,,
11/14/2019 9:53:36,Cage 3,Cage 4,3,"Bite/Fight, Chase",Cage 3,3,"Flee, Subordinate posture",,,
11/14/2019 9:54:04,Cage 4,Cage 5,3,Bite/Fight,Cage 4,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 9:55:18,Cage 4,Cage 5,3,Bite/Fight,Cage 3,2,Freeze/immobility,,,
11/14/2019 9:55:42,Cage 4,Cage 5,3,Bite/Fight,Cage 3,2,"Subordinate posture, Freeze/immobility",,,
11/14/2019 9:55:54,Cage 4,Cage 5,3,Bite/Fight,Cage 4,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 9:56:20,Cage 4,Cage 5,3,Bite/Fight,Cage 3,2,Flee,,,Yes
11/14/2019 9:57:39,Cage 3,Cage 4,3,Bite/Fight,Cage 3,3,Freeze/immobility,,,
11/14/2019 9:57:53,Cage 1,Cage 3,4,"Lunge, Bite/Fight",Cage 4,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 9:58:58,Cage 3,Cage 5,2,"Bite/Fight, Chase",Cage 4,3,Flee,,,
11/14/2019 9:59:28,Cage 3,Cage 5,2,Bite/Fight,Cage 2,4,"Flee, Subordinate posture",,,
11/14/2019 9:59:55,Cage 4,Cage 4,4,"Chase, Sniff",Cage 2,2,Flee,,,
11/14/2019 10:00:14,Cage 4,Cage 5,3,"Lunge, Sniff",Cage 4,4,Freeze/immobility,,,
11/14/2019 10:01:08,Cage 4,Cage 5,3,Bite/Fight,Cage 4,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:01:37,Cage 2,Cage 4,2,Bite/Fight,Cage 2,3,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:02:02,Cage 5,Cage 1,4,Bite/Fight,Cage 1,2,"Flee, Freeze/immobility",,,
11/14/2019 10:02:30,Cage 1,Cage 3,4,Bite/Fight,Cage 4,1,Freeze/immobility,,,
11/14/2019 10:02:46,Cage 3,Cage 5,2,"Bite/Fight, Chase",Cage 4,3,Flee,,,
11/14/2019 10:03:09,Cage 2,Cage 4,2,Bite/Fight,Cage 3,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:03:32,Cage 3,Cage 5,2,"Bite/Fight, Chase",Cage 4,3,"Flee, Subordinate posture",,,
11/14/2019 10:03:57,Cage 2,Cage 4,2,Bite/Fight,Cage 2,3,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:04:34,Cage 4,Cage 5,3,Bite/Fight,Cage 4,4,Freeze/immobility,,,
11/14/2019 10:04:55,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:05:15,Cage 4,Cage 5,3,"Bite/Fight, Mount",Cage 3,2,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:05:42,Cage 3,Cage 5,2,Bite/Fight,Cage 2,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:05:55,Cage 3,Cage 5,2,Bite/Fight,Cage 4,3,Freeze/immobility,,,
11/14/2019 10:06:24,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,Freeze/immobility,,,
11/14/2019 10:06:43,Cage 2,Cage 4,2,Bite/Fight,Cage 5,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:07:49,Cage 5,Cage 1,1,Mount,Cage 1,3,Freeze/immobility,,,
11/14/2019 10:08:30,Cage 1,Cage 4,1,"Bite/Fight, Sniff",Cage 2,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:09:42,Cage 2,Cage 4,2,Bite/Fight,Cage 5,1,Freeze/immobility,,,
11/14/2019 10:11:16,Cage 1,Cage 3,4,"Lunge, Bite/Fight",Cage 4,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:11:36,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,Subordinate posture,,,
11/14/2019 10:12:04,Cage 3,Cage 5,2,Bite/Fight,Cage 4,3,"Flee, Freeze/immobility",,,
11/14/2019 10:12:58,Cage 2,Cage 3,1,"Bite/Fight, Allogroom",Cage 2,3,Freeze/immobility,,,
11/14/2019 10:13:37,Cage 5,Cage 1,4,Bite/Fight,Cage 1,3,Freeze/immobility,,,
11/14/2019 10:15:22,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,Subordinate posture,,,
11/14/2019 10:15:46,Cage 2,Cage 4,2,Bite/Fight,Cage 2,3,Subordinate posture,,,
11/14/2019 10:16:17,Cage 5,Cage 1,4,Bite/Fight,Cage 1,2,"Flee, Freeze/immobility",,,
11/14/2019 10:16:32,Cage 5,Cage 1,4,Bite/Fight,Cage 1,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:17:57,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,Freeze/immobility,,,
11/14/2019 10:18:13,Cage 1,Cage 3,4,"Lunge, Sniff",Cage 4,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:18:35,Cage 1,Cage 3,4,"Bite/Fight, Chase",Cage 5,4,"Flee, Subordinate posture",,,
11/14/2019 10:19:12,Cage 5,Cage 4,4,"Sniff, Allogroom",Cage 2,2,Walk away,,,
11/14/2019 10:19:54,Cage 1,Cage 3,4,Bite/Fight,Cage 2,1,Freeze/immobility,,,
11/14/2019 10:21:10,Cage 1,Cage 3,4,"Lunge, Bite/Fight",Cage 4,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:21:48,Cage 2,Cage 4,2,Bite/Fight,Cage 2,3,Freeze/immobility,,,
11/14/2019 10:22:05,Cage 5,Cage 1,4,Bite/Fight,Cage 1,1,Flee,,,
11/14/2019 10:23:34,Cage 5,Cage 1,4,"Lunge, Bite/Fight",Cage 1,2,Flee,,,
11/14/2019 10:25:12,Cage 2,Cage 5,1,Lunge,Cage 3,1,Subordinate posture,,,
11/14/2019 10:25:26,Cage 1,Cage 3,4,Bite/Fight,Cage 4,1,Subordinate posture,,,Yes
11/14/2019 10:25:47,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:27:48,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,Freeze/immobility,,,
11/14/2019 10:28:04,Cage 1,Cage 3,4,Bite/Fight,Cage 2,1,Freeze/immobility,,,
11/14/2019 10:28:39,Cage 3,Cage 5,2,Bite/Fight,Cage 4,3,"Flee, Freeze/immobility",,,
11/14/2019 10:31:15,Cage 1,Cage 3,4,"Bite/Fight, Chase",Cage 5,4,"Flee, Subordinate posture, Freeze/immobility",,,
11/14/2019 10:31:42,Cage 1,Cage 3,4,Bite/Fight,Cage 2,1,Freeze/immobility,,,
11/14/2019 10:32:01,Cage 1,Cage 4,1,Bite/Fight,Cage 2,1,"Flee, Freeze/immobility",,,
11/14/2019 10:32:16,Cage 1,Cage 3,4,"Lunge, Bite/Fight",Cage 4,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:33:44,Cage 1,Cage 3,4,Bite/Fight,Cage 2,1,Subordinate posture,,,
11/14/2019 10:33:55,Cage 1,Cage 3,4,Bite/Fight,Cage 4,1,Freeze/immobility,,,
11/14/2019 10:34:21,Cage 1,Cage 3,4,"Lunge, Bite/Fight",Cage 2,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:34:53,Cage 3,Cage 5,2,"Bite/Fight, Chase",Cage 4,3,Flee,,,
11/14/2019 10:36:36,Cage 5,Cage 1,2,Lunge,Cage 1,3,Freeze/immobility,,,
11/14/2019 10:37:47,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:38:15,Cage 3,Cage 5,2,Bite/Fight,Cage 2,4,Freeze/immobility,,,Yes
11/14/2019 10:38:30,Cage 1,Cage 3,4,Bite/Fight,Cage 2,1,Freeze/immobility,,,
11/14/2019 10:38:47,Cage 3,Cage 5,2,Bite/Fight,Cage 4,3,Freeze/immobility,,,
11/14/2019 10:40:19,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,Subordinate posture,,,
11/14/2019 10:40:36,Cage 2,Cage 4,2,Bite/Fight,Cage 5,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:40:54,Cage 2,Cage 5,1,Bite/Fight,Cage 2,3,Freeze/immobility,,,
11/14/2019 10:41:28,Cage 2,Cage 5,1,Sniff,Cage 3,1,Subordinate posture,,,
11/14/2019 10:42:06,Cage 5,Cage 1,4,"Lunge, Bite/Fight",Cage 1,1,Flee,,,
11/14/2019 10:43:39,Cage 1,Cage 3,4,"Lunge, Bite/Fight",Cage 4,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:44:51,Cage 1,Cage 3,4,Bite/Fight,Cage 4,1,Freeze/immobility,,,
11/14/2019 10:45:01,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,Freeze/immobility,,,
11/14/2019 10:48:59,Cage 4,Cage 4,4,Bite/Fight,Cage 3,2,"Flee, Subordinate posture",,,
11/14/2019 10:49:11,Cage 4,Cage 5,3,Bite/Fight,Cage 4,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:49:48,Cage 1,Cage 3,4,Lunge,Cage 5,4,Subordinate posture,,,
11/14/2019 10:50:05,Cage 1,Cage 3,4,"Lunge, Bite/Fight",Cage 4,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:50:36,Cage 5,Cage 1,4,Bite/Fight,Cage 1,2,Flee,,,Yes
11/14/2019 10:51:13,Cage 2,Cage 4,2,Bite/Fight,Cage 5,1,Freeze/immobility,,,
11/14/2019 10:51:40,Cage 3,Cage 5,2,"Bite/Fight, Sniff",Cage 4,3,Freeze/immobility,,,
11/14/2019 10:52:12,Cage 3,Cage 5,2,Bite/Fight,Cage 4,3,Freeze/immobility,,,
11/14/2019 10:52:32,Cage 5,Cage 1,4,Bite/Fight,Cage 1,1,"Flee, Freeze/immobility",,,
11/14/2019 10:53:28,Cage 2,Cage 4,2,"Lunge, Bite/Fight",Cage 5,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:53:56,Cage 4,Cage 5,3,Bite/Fight,Cage 2,2,Freeze/immobility,,,
11/14/2019 10:54:33,Cage 4,Cage 5,3,Bite/Fight,Cage 4,4,"Subordinate posture, Freeze/immobility",,,Yes
11/14/2019 10:56:07,Cage 5,Cage 1,4,"Bite/Fight, Chase",Cage 1,2,Flee,,,
11/14/2019 10:57:34,Cage 2,Cage 4,2,Bite/Fight,Cage 5,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 10:59:04,Cage 3,Cage 3,3,Bite/Fight,Cage 2,4,Freeze/immobility,,,
11/14/2019 10:59:36,Cage 5,Cage 1,4,Bite/Fight,Cage 1,1,Flee,,,
11/14/2019 10:59:47,Cage 5,Cage 1,4,Bite/Fight,Cage 1,2,Freeze/immobility,,,
11/14/2019 11:00:08,Cage 1,Cage 1,1,Lunge,Cage 1,1,Lunge,Tmm,End,
11/14/2019 11:00:27,Cage 1,Cage 1,1,Lunge,Cage 1,1,Lunge,Tmm,Start,
11/14/2019 11:03:11,Cage 2,Cage 4,2,"Bite/Fight, Chase",Cage 5,1,Flee,,,
11/14/2019 11:03:22,Cage 5,Cage 1,4,"Bite/Fight, Chase",Cage 1,2,"Flee, Subordinate posture",,,
11/14/2019 11:03:34,Cage 2,Cage 4,2,Bite/Fight,Cage 5,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:04:01,Cage 2,Cage 4,2,Bite/Fight,Cage 3,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:05:56,Cage 2,Cage 4,2,"Lunge, Bite/Fight",Cage 3,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:07:35,Cage 1,Cage 4,1,Bite/Fight,Cage 5,4,Freeze/immobility,,,
11/14/2019 11:08:01,Cage 4,Cage 5,3,Bite/Fight,Cage 3,2,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:09:15,Cage 3,Cage 4,3,Bite/Fight,Cage 2,4,Subordinate posture,,,
11/14/2019 11:12:05,Cage 3,Cage 4,3,Bite/Fight,Cage 2,4,"Subordinate posture, Freeze/immobility",,,
