Well_ID,Name,Well,Dil,ABS_450,CONC,Count,Mean,Std_dev,CV,plate 
BLK,,B7,,0.824,11.67431184,2,10.71246981,1.360250051,8.978714078,5
,,B8,,0.832,9.750627775,,,,,5
NSB,,A7,,0.071,>5249.023,0,?????,?????,?????,5
,,A8,,0.074,>5249.023,,,,,5
SPL1,b13 5-3 pre,D9,,0.35,681.0815785,2,718.5055757,52.92552433,5.208588273,5
,,D10,,0.336,755.9295728,,,,,5
SPL2,b13 5-3,E9,,0.315,889.4409418,2,946.9867784,81.38210249,6.076730727,5
,,E10,,0.3,1004.532615,,,,,5
SPL3,b13 5-1 pre,F9,,0.522,215.0304606,2,208.2221882,9.62835113,3.269715122,5
,,F10,,0.532,201.4139159,,,,,5
SPL4,b13 5-1,G9,,0.263,1391.797012,2,1439.950541,68.09937327,3.344109903,5
,,G10,,0.256,1488.10407,,,,,5
SPL5,b5 5-3 pre,H9,,0.276,1235.115491,2,1163.914396,100.6935539,6.117382433,5
,,H10,,0.29,1092.713301,,,,,5
SPL6,b5 5-3,A11,,0.23,1945.419436,2,1934.81551,14.99621614,0.548058772,5
,,A12,,0.231,1924.211584,,,,,5
SPL7,b5 2-2 pre,B11,,0.298,1021.370213,2,1057.041757,50.4471817,3.374658005,5
,,B12,,0.29,1092.713301,,,,,5
SPL8,b5 2-2,C11,,0.334,767.4677685,2,719.3193579,68.09213537,6.693606969,5
,,C12,,0.352,671.1709472,,,,,5
SPL9,b4 1-4 pre,D11,,0.232,1903.346112,2,1980.113829,108.5659473,3.87693457,5
,,D12,,0.225,2056.881547,,,,,5
SPL10,b4 1-4,E11,,0.277,1224.112057,2,1182.466155,58.89619957,3.52195299,5
,,E12,,0.285,1140.820253,,,,,5
SPL11,b4 1-1 pre,F11,,0.356,651.8877384,2,656.6644508,6.75529149,0.72742059,5
,,F12,,0.354,661.4411633,,,,,5
SPL12,b4 1-1,G11,,0.291,1083.428944,2,1137.671294,76.71026663,4.767840238,5
,,G12,,0.28,1191.913643,,,,,5
STD1,,C7,5000,0.155,>5249.023,1,4745.509,?????,?????,5
,,C8,5000,0.166,4745.509,,,,,5
STD2,,D7,2500,0.209,2486.456792,2,2332.331673,217.9658339,6.608199042,5
,,D8,2500,0.22,2178.206553,,,,,5
STD3,,E7,1250,0.27,1304.149943,2,1381.892722,109.9448929,5.625818708,5
,,E8,1250,0.258,1459.635502,,,,,5
STD4,,F7,625,0.368,598.0367239,2,550.1488736,67.72364739,8.704525741,5
,,F8,625,0.393,502.2610233,,,,,5
STD5,,G7,312.5,0.458,325.8418382,2,342.6296303,23.74152329,4.899690694,5
,,G8,312.5,0.443,359.4174224,,,,,5
STD6,,H7,156.25,0.567,159.6509943,2,168.0791197,11.91916926,5.01437979,5
,,H8,156.25,0.552,176.5072451,,,,,5
STD7,,A9,78.125,0.688,64.72360874,2,63.35096996,1.941204386,2.166721024,5
,,A10,78.125,0.693,61.97833117,,,,,5
STD8,,B9,39.063,0.73,43.79775269,2,44.24400107,0.631090509,1.008607647,5
,,B10,39.063,0.728,44.69024945,,,,,5
STD9,,C9,19.531,0.79,21.21488298,2,18.6910268,3.569271637,13.50303654,5
,,C10,19.531,0.807,16.16717062,,,,,5
BLK,,B1,,0.8,5.116856807,2,6.310298076,1.687780828,18.91259739,4
,,B2,,0.795,7.503739345,,,,,4
NSB,,A1,,0.073,>5249.023,0,?????,?????,?????,4
,,A2,,0.081,>5249.023,,,,,4
SPL1,B9 3-4 pre,D3,,0.239,1559.618829,2,1730.780872,242.0596821,9.889295952,4
,,D4,,0.221,1901.942914,,,,,4
SPL2,b9 3-4,E3,,0.179,3542.935246,2,3446.185315,136.825064,2.807450029,4
,,E4,,0.182,3349.435384,,,,,4
SPL3,b9 1-3 pre,F3,,0.305,881.072642,2,950.7184431,98.49403644,7.325596929,4
,,F4,,0.286,1020.364244,,,,,4
SPL4,b9 1-3,G3,,0.184,3230.849667,2,3494.404757,372.7231828,7.542202704,4
,,G4,,0.176,3757.959847,,,,,4
SPL5,b6 2-2 pre,H3,,0.327,752.0839124,2,702.249402,70.47664057,7.096411947,4
,,H4,,0.348,652.4148915,,,,,4
SPL6,b6 2-2,A5,,0.308,861.6839478,2,801.7015023,84.82798787,7.481892611,4
,,A6,,0.329,741.7190568,,,,,4
SPL7,b6 1-1 pre,B5,,0.273,1135.895217,2,1090.631185,64.01300736,4.150260163,4
,,B6,,0.283,1045.367153,,,,,4
SPL8,b6 1-1,C5,,0.235,1626.255143,2,1539.80853,122.2539728,5.614114449,4
,,C6,,0.246,1453.361917,,,,,4
SPL9,b3 4-1 pre,D5,,0.261,1261.746472,2,1297.473085,50.52506075,2.753553309,4
,,D6,,0.255,1333.199698,,,,,4
SPL10,b3 4-1,E5,,0.427,400.5520592,2,369.2936879,44.20601254,8.464366508,4
,,E6,,0.456,338.0353167,,,,,4
SPL11,b3 4-2 pre,F5,,0.332,726.5424707,2,772.6666588,65.22945246,5.969480842,4
,,F6,,0.315,818.790847,,,,,4
SPL12,b3 4-2,G5,,0.373,555.5358356,2,550.3648175,7.312923893,0.939561889,4
,,G6,,0.376,545.1937994,,,,,4
SPL13,b2 4-4 pre,H5,,0.168,4468.644011,2,4233.477274,332.5759892,5.5549309,4
,,H6,,0.173,3998.310536,,,,,4
SPL14,b2 4-4,A7,,0.381,528.490313,2,549.1034735,29.15141104,3.753966497,4
,,A8,,0.369,569.7166339,,,,,4
SPL15,b2 4-3 pre,B7,,0.308,861.6839478,2,888.2627218,37.58806264,2.992219907,4
,,B8,,0.3,914.8414957,,,,,4
SPL16,b2 4-3,C7,,0.266,1206.756134,2,1251.720074,63.58861447,3.592172197,4
,,C8,,0.258,1296.684015,,948.0942685,,,4
SPL17,b14 3-1 pre,D7,,0.361,599.5045223,2,658.0841171,82.84405752,8.901536038,4
,,D8,,0.334,716.663712,,,,,4
SPL18,b14 3-1,E7,,0.246,1453.361917,2,1557.369205,147.088518,6.678396373,4
,,E8,,0.233,1661.376494,,,,,4
SPL19,b14 3-4 pre,F7,,0.282,1053.91009,2,1045.419956,12.006862,0.812126599,4
,,F8,,0.284,1036.929823,,,,,4
SPL20,b14 3-4,G7,,0.214,2071.291639,2,2021.392495,70.56804603,2.468552941,4
,,G8,,0.218,1971.493351,,,,,4
SPL21,b12 4-2 pre,H7,,0.336,706.9698678,2,754.1585628,66.73489257,6.257131776,4
,,H8,,0.318,801.3472579,,,,,4
SPL22,b12 4-2,A9,,0.246,1453.361917,2,1405.917866,67.09602045,3.374596213,4
,,A10,,0.253,1358.473815,,,,,4
SPL23,b12 1-2 pre,B9,,0.223,1857.873972,2,1716.860263,199.4234999,8.213464552,4
,,B10,,0.238,1575.846554,,,,,4
SPL24,b12 1-2,C9,,0.273,1135.895217,2,1216.289616,113.6948496,6.609807243,4
,,C10,,0.258,1296.684015,,,,,4
SPL25,b11 1-3 pre,D9,,0.306,874.5393988,2,891.2379979,23.61538528,1.873640836,4
,,D10,,0.301,907.9365969,,,,,4
SPL26,b11 1-3,E9,,0.165,4803.407447,2,4584.985147,308.8957783,9.326,4
,,E10,,0.169,4366.562848,,,,,4
SPL27,b11 4-4 pre,F9,,0.274,1126.305685,2,1065.25202,86.34292083,5.731382217,4
,,F10,,0.288,1004.198355,,,,,4
SPL28,b11 4-4,G9,,0.19,2916.989211,2,3073.919439,221.9328567,5.105216028,4
,,G10,,0.184,3230.849667,,,,,4
SPL29,b1 2-2 pre,H9,,0.311,842.9115988,2,923.5549769,114.0469589,8.731843806,4
,,H10,,0.288,1004.198355,,,,,4
SPL30,b1 2-2,A11,,0.442,366.7984642,2,333.8487001,46.59800327,9.86966973,4
,,A12,,0.476,300.898936,,,,,4
STD1,,C1,5000,0.156,>5249.023,2,?????,?????,?????,4
,,C2,5000,0.161,>5249.023,,,,,4
STD2,,D1,2500,0.202,2430.642086,2,2238.089194,272.3109116,8.60345033,4
,,D2,2500,0.215,2045.536302,,,,,4
STD3,,E1,1250,0.26,1273.223329,2,1335.545546,88.13692489,4.666423953,4
,,E2,1250,0.25,1397.867763,,,,,4
STD4,,F1,625,0.351,639.6708027,2,631.4303672,11.65373566,1.305042636,4
,,F2,625,0.355,623.1899317,,,,,4
STD5,,G1,312.5,0.476,300.898936,2,308.0681046,10.13873541,2.327137557,4
,,G2,312.5,0.468,315.2372731,,,,,4
STD6,,H1,156.25,0.567,174.1541986,2,163.0527845,15.69977031,6.808478668,4
,,H2,156.25,0.588,151.9513705,,,,,4
STD7,,A3,78.125,0.67,81.59887821,2,75.24690866,8.983041487,8.441502335,4
,,A4,78.125,0.688,68.89493911,,,,,4
STD8,,B3,39.063,0.741,35.80449328,2,39.89110323,5.77933921,10.24441446,4
,,B4,39.063,0.727,43.97771317,,,,,4
STD9,,C3,19.531,0.771,19.49024034,2,20.01019369,0.735325067,2.598442322,4
,,C4,19.531,0.769,20.53014703,,,,,4
BLK,,B1,,0.862,5.214156728,2,4.391326229,1.163658052,18.73763088,3
,,B2,,0.865,3.568495729,,,,,3
NSB,,A1,,0.07,>5249.023,0,?????,?????,?????,3
,,A2,,0.07,>5249.023,,,,,3
SPL1,b12 3-4 pre,D3,,0.505,300.442305,2,283.3637397,24.15273859,6.027082103,3
,,D4,,0.529,266.2851745,,,,,3
SPL2,b12 3-4,E3,,0.305,918.9041124,2,897.170289,30.73626793,2.42248587,3
,,E4,,0.312,875.4364655,,,,,3
SPL3,b12 3-1 pre,F3,,0.328,787.2623565,2,825.4337582,53.98251398,4.624405208,3
,,F4,,0.314,863.6051599,,,,,3
SPL4,b12 3-1,G3,,0.324,807.9888302,2,768.8227195,55.38924482,5.094296724,3
,,G4,,0.34,729.6566089,,,,,3
SPL5,b11 1-4 pre,H3,,0.292,1009.264217,2,948.3930745,86.08479539,6.418345327,3
,,H4,,0.31,887.5219319,,,,,3
SPL6,b11 1-4,A5,,0.225,1853.723362,2,1699.732691,217.7756958,9.059699334,3
,,A6,,0.242,1545.74202,,,,,3
SPL7,b11 2-3 pre,B5,,0.378,582.7547171,2,537.0913746,64.57771828,8.501969064,3
,,B6,,0.409,491.4280321,,,,,3
SPL8,b11 2-3 ,C5,,0.21,2232.784536,2,2404.035377,242.1852621,7.123474255,3
,,C6,,0.2,2575.286218,,,,,3
SPL9,b10 5-3 pre,D5,,0.404,504.82424,2,487.8713334,23.97503044,3.474872459,3
,,D6,,0.417,470.9184268,,,,,3
SPL10,b10 5-3,E5,,0.178,3835.80095,2,3970.512334,190.5106663,3.39279601,3
,,E6,,0.175,4105.223718,,,,,3
SPL11,b10 3-3 pre,F5,,0.32,829.5568017,2,840.788353,15.88381228,1.335835747,3
,,F6,,0.316,852.0199044,,,,,3
SPL12,b10 3-3,G5,,0.171,4527.80054,2,4786.655763,366.0765668,5.407851236,3
,,G6,,0.167,5045.510986,,,,,3
SPL13,b9 2-3 pre,H5,,0.337,743.4547695,2,691.2173032,73.8749333,7.557314618,3
,,H6,,0.362,638.9798369,,,,,3
SPL14,b9 2-3,A7,,0.339,734.2136308,2,710.2470831,33.89381676,3.37439579,3
,,A8,,0.35,686.2805354,,,,,3
SPL15,b9 2-2 pre,B7,,0.374,596.1489584,2,564.606477,44.60780505,5.586631172,3
,,B8,,0.394,533.0639955,,,,,3
SPL16,b9 2-2,C7,,0.289,1032.149935,2,1120.679376,125.1995356,7.899622545,3
,,C8,,0.269,1209.208816,,,,,3
SPL17,b8 4-1 pre,D7,,0.443,411.1548944,2,425.4822873,20.26199332,3.367330041,3
,,D8,,0.43,439.8096802,,,,,3
SPL18,b8 4-1,E7,,0.22,1966.148252,2,2042.354459,107.7718516,3.731291929,3
,,E8,,0.214,2118.560666,,,,,3
SPL19,b8 2-2 pre,F7,,0.249,1444.134399,2,1352.821216,129.136342,6.749833756,3
,,F8,,0.264,1261.508033,,,,,3
SPL20,b8 2-2,G7,,0.186,3261.275788,2,3202.037079,83.77618635,1.850031964,3
,,G8,,0.188,3142.798369,,,,,3
SPL21,b7 3-4 pre,H7,,0.352,678.0563775,2,725.1481224,66.59778434,6.494086307,3
,,H8,,0.331,772.2398673,,,,,3
SPL22,b7 3-4,A9,,0.232,1714.649881,2,1840.399067,177.8362034,6.832712949,3
,,A10,,0.22,1966.148252,,,,,3
SPL23,b7 4-1 pre,B9,,0.449,398.6755709,2,407.0456475,11.83707574,2.056299233,3
,,B10,,0.441,415.415724,,,,,3
SPL24,b7 4-1,C9,,0.235,1660.651458,2,1697.001761,51.40709232,2.142030987,3
,,C10,,0.231,1733.352065,,,,,3
SPL25,b2 2-1 pre,D9,,0.486,330.5173836,2,351.8086789,30.11043862,6.05195284,3
,,D10,,0.462,373.0999742,,,,,3
SPL26,b2 2-1,E9,,0.311,881.4469077,2,956.7984214,106.5631327,7.875380231,3
,,E10,,0.289,1032.149935,,,,,3
SPL27,b2 5-1 pre,F9,,0.215,2091.675318,2,2242.152587,212.806995,6.711285845,3
,,F10,,0.205,2392.629857,,,,,3
SPL28,b2 5-1,G9,,0.314,863.6051599,2,860.6937146,4.117405522,0.338267297,3
,,G10,,0.315,857.7822692,,,,,3
SPL29,b14 1-2 pre,H9,,0.355,665.9835094,2,711.8134732,64.81335633,6.438479391,3
,,H10,,0.334,757.643437,,,,,3
SPL30,b14 1-2,A11,,0.17,4647.135082,2,4329.269798,449.5293962,7.34223782,3
,,A12,,0.176,4011.404513,,,,,3
SPL31,b14 4-2 pre,B11,,0.348,694.6496034,2,719.0521864,34.51046393,3.393715161,3
,,B12,,0.337,743.4547695,,,,,3
SPL32,b14 4-2,C11,,0.243,1530.469929,2,1487.302164,61.04843893,2.90242065,3
,,C12,,0.249,1444.134399,,,,,3
SPL33,b5 3-4 pre,D11,,0.233,1696.305896,2,1570.220147,178.3121752,8.029813431,3
,,D12,,0.249,1444.134399,,,,,3
SPL34,b5 3-4,E11,,0.245,1500.708779,2,1636.29169,191.7431918,8.285986658,3
,,E12,,0.229,1771.874601,,,,,3
SPL35,b5 5-4 pre,F11,,0.224,1875.261222,2,1932.697751,81.22751867,2.97183195,3
,,F12,,0.219,1990.13428,,,,,3
SPL36,b5 5-4,G11,,0.272,1179.555496,2,1279.004689,140.6423981,7.775514372,3
,,G12,,0.254,1378.453882,,,,,3
STD1,,C1,5000,0.161,>5249.023,0,?????,?????,?????,3
,,C2,5000,0.156,>5249.023,,,,,3
STD2,,D1,2500,0.223,1910.152,2,2071.468268,228.1356538,7.787532658,3
,,D2,2500,0.21,2232.784536,,,,,3
STD3,,E1,1250,0.268,1219.372661,2,1176.064933,61.24637747,3.682426678,3
,,E2,1250,0.277,1132.757204,,,,,3
STD4,,F1,625,0.365,627.8794336,2,685.6671015,81.72410377,8.427948174,3
,,F2,625,0.337,743.4547695,,,,,3
STD5,,G1,312.5,0.502,305,2,319.4293362,20.40616296,4.517223239,3
,,G2,312.5,0.484,333.8586724,,,,,3
STD6,,H1,156.25,0.659,131.4871405,2,143.7651777,17.36376667,8.54034152,3
,,H2,156.25,0.63,156.0432149,,,,,3
STD7,,A3,78.125,0.725,83.43835208,2,88.83538459,7.632556579,6.075318455,3
,,A4,78.125,0.709,94.23241711,,,,,3
STD8,,B3,39.063,0.807,34.47935797,2,37.79188122,4.684615313,8.765171639,3
,,B4,39.063,0.795,41.10440448,,,,,3
STD9,,C3,19.531,0.833,20.54529549,2,19.49123831,1.490661948,5.407851236,3
,,C4,19.531,0.837,18.43718114,,,,,3
BLK,,B1,,0.807,25.53546724,2,24.68706476,1.199822298,3.436627609,1
,,B2,,0.812,23.83866227,,,,,1
NSB,,A1,,0.072,>5249.023,0,?????,?????,?????,1
,,A2,,0.369,>5249.023,,,,,1
SPL1,b1 1-1 pre,D3,,0.33,856.8794311,2,825.1573817,44.86175248,3.844363524,1
,,D4,,0.341,793.4353323,,,,,1
SPL2,b1 1-1,E3,,0.365,674.2285607,2,728.387576,76.59241398,7.435466652,1
,,E4,,0.343,782.5465913,,,,,1
SPL3,b1 2-1 pre,F3,,0.251,1587.873963,2,1823.902497,333.7947543,12.94085263,1
,,F4,,0.223,2059.931031,,,,,1
SPL4,b1 2-1,G3,,0.222,2080.403768,2,2241.049248,227.1870166,7.168315474,1
,,G4,,0.208,2401.694728,,,,,1
SPL5,b10 3-2 pre,H3,,0.277,1276.232177,2,1308.130306,45.11076773,2.438452011,1
,,H4,,0.271,1340.028436,,,,,1
SPL6,b10 3-2,A5,,0.178,3402.005118,2,3402.005118,0,0,1
,,A6,,0.178,3402.005118,,,,,1
SPL7,b10 1-2 pre,B5,,0.343,782.5465913,2,739.8393144,60.39721024,5.772507096,1
,,B6,,0.36,697.1320375,,,,,1
SPL8,b10 1-2,C5,,0.262,1444.305679,2,1381.294616,89.11110007,4.561739574,1
,,C6,,0.273,1318.283553,,,,,1
SPL9,b11 5-2 pre,D5,,0.399,540.3363736,2,560.1095079,27.96343459,3.530226491,1
,,D6,,0.388,579.8826421,,,,,1
SPL10,b11 5-2,E5,,0.293,1125.205696,2,1152.022868,37.92520873,2.327833328,1
,,E6,,0.287,1178.840041,,,,,1
SPL11,b11 5-3 pre,F5,,0.468,351.6996325,2,349.5604512,3.025259177,0.611963187,1
,,F6,,0.47,347.4212699,,,,,1
SPL12,b11 5-3,G5,,0.326,881.5490462,2,832.0478188,70.00530718,5.949324824,1
,,G6,,0.343,782.5465913,,,,,1
SPL13,b12 1-3 pre,H5,,0.316,947.3634235,2,940.5330838,9.659558984,0.726220032,1
,,H6,,0.318,933.7027441,,,,,1
SPL14,b12 1-3,A7,,0.236,1818.59739,2,1724.561787,132.9864265,5.452724552,1
,,A8,,0.248,1630.526183,,,,,1
SPL15,b12 4-3 pre,B7,,0.281,1236.002448,2,1147.339629,125.3881601,7.727687254,1
,,B8,,0.301,1058.676811,,,,,1
SPL16,b12 4-3,C7,,0.199,2648.994211,2,2475.879029,244.8218382,6.99206948,1
,,C8,,0.212,2302.763847,,,,,1
SPL17,b13 2-2 pre,D7,,0.201,2590.827681,2,2356.542809,331.3288424,9.941889038,1
,,D8,,0.22,2122.257938,,,,,1
SPL18,b13 2-2,E7,,0.245,1674.830511,2,1713.711224,54.98563157,2.268801908,1
,,E8,,0.24,1752.591937,,,,,1
SPL19,b13 1-2 pre,F7,,0.41,503.8811041,2,505.478601,2.259201732,0.316036497,1
,,F8,,0.409,507.0760978,,,,,1
SPL20,b13 1-2,G7,,0.339,804.5158397,2,839.9064192,50.04983745,4.213633644,1
,,G8,,0.327,875.2969986,,,,,1
SPL21,b14 5-4 pre,H7,,0.326,881.5490462,2,824.0561307,81.30726075,6.976820303,1
,,H8,,0.346,766.5632153,,,,,1
SPL22,b14 5-4,A9,,0.324,894.2267315,2,897.4402881,4.544655378,0.358080273,1
,,A10,,0.323,900.6538447,,,,,1
SPL23,b14 5-1 pre,B9,,0.359,701.8264971,2,739.4996079,53.27782429,5.09440579,1
,,B10,,0.344,777.1727187,,,,,1
SPL24,b14 5-1,C9,,0.257,1507.192373,2,1451.902764,78.19131476,3.80807932,1
,,C10,,0.266,1396.613155,,,,,1
SPL25,b2 2-2 pre,D9,,0.339,804.5158397,2,762.7569057,59.05605086,5.474736934,1
,,D10,,0.355,720.9979716,,,,,1
SPL26,b2 2-2,E9,,0.359,701.8264971,2,644.6294996,80.88876958,8.872848284,1
,,E10,,0.386,587.4325021,,,,,1
SPL27,b2 3-4 pre,F9,,0.423,464.3538986,2,509.3475515,63.63063415,8.833585783,1
,,F10,,0.395,554.3412044,,,,,1
SPL28,b2 3-4,G9,,0.406,516.8007774,2,567.8107763,72.13903223,8.983626415,1
,,G10,,0.378,618.8207751,,,,,1
SPL29,b3 1-3 pre,H9,,0.284,1206.960495,2,1179.280771,39.14504162,2.347169993,1
,,H10,,0.29,1151.601046,,,,,1
SPL30,b3 1-3,A11,,0.419,476.1313978,2,508.2338857,45.39977382,6.31647925,1
,,A12,,0.399,540.3363736,,,,,1
SPL31,b3 1-2 pre,B11,,0.473,341.1042149,2,330.0169516,15.67975812,3.359604177,1
,,B12,,0.484,318.9296883,,,,,1
SPL32,b3 1-2,C11,,0.384,595.0987761,2,560.9192951,48.3370856,6.093475711,1
,,C12,,0.403,526.7398141,,,,,1
SPL33,b4 2-4 pre,D11,,0.315,954.2916031,2,1057.438376,145.8715655,9.754400395,1
,,D12,,0.289,1160.585149,,,,,1
SPL34,b4 2-4,E11,,0.234,1852.95439,2,1741.740286,157.2804935,6.385228866,1
,,E12,,0.248,1630.526183,,,,,1
SPL35,b4 5-2 pre,F11,,0.218,2165.36614,2,2073.147631,130.416666,4.448236466,1
,,F12,,0.227,1980.929122,,,,,1
SPL36,b4 5-2,G11,,0.217,2187.40707,2,2347.265324,226.0737106,6.810404098,1
,,G12,,0.204,2507.123578,,,,,1
SPL37,,H11,,0.048,>5249.023,0,?????,?????,?????,1
,,H12,,0.057,>5249.023,,,,,1
STD1,,C1,5000,0.164,4114.663,1,4114.663,?????,?????,1
,,C2,5000,0.142,>5249.023,,,,,1
STD2,,D1,2500,0.206,2453.560059,2,2366.270392,123.4462302,3.688913436,1
,,D2,2500,0.213,2278.980726,,,,,1
STD3,,E1,1250,0.268,1373.588082,2,1446.909344,103.6919237,5.067439966,1
,,E2,1250,0.256,1520.230607,,,,,1
STD4,,F1,625,0.395,554.3412044,2,601.1415333,66.18565984,7.785242958,1
,,F2,625,0.371,647.9418622,,,,,1
STD5,,G1,312.5,0.499,291.0087384,2,317.102693,36.90242462,8.228865685,1
,,G2,312.5,0.472,343.1966477,,,,,1
STD6,,H1,156.25,0.625,130.8719992,2,144.2586218,18.93154318,9.279599647,1
,,H2,156.25,0.597,157.6452444,,,,,1
STD7,,A3,78.125,0.685,84.94719246,2,81.13268536,5.394527685,4.701566441,1
,,A4,78.125,0.697,77.31817825,,,,,1
